candidate_id,observed_at,market,theme,decision,instrument,reference_or_hedge,anchor,context,primary_horizon,secondary_horizon,path_check,invalidation,primary_metric
fet-relative-weakness-short-20260609T2245Z,2026-06-09T22:45:18Z,crypto_perp,relative_weakness,paper_short,FET,BTC_ETH_basket,0.20135,"funding_ann=0.109500; spread_bps=3.4752; depth10=7463; volume24h=1537445",1h,4h,15m adverse excursion only,"FET recovers relative to BTC/ETH or liquidity worsens","short return plus BTC/ETH-relative weakness minus spread and simple taker-cost proxy"
near-crowded-short-20260609T2245Z,2026-06-09T22:45:18Z,crypto_perp,crowded_positive_funding_short,paper_short,NEAR,BTC_ETH_basket,2.1775,"funding_ann=0.109500; spread_bps=0.4593; depth10=12310; volume24h=68542640",1h,4h,15m adverse excursion only,"NEAR continues outperforming BTC/ETH after costs","short return plus BTC/ETH-relative weakness minus spread and simple taker-cost proxy"
sui-crowded-short-20260609T2245Z,2026-06-09T22:45:18Z,crypto_perp,crowded_positive_funding_short,paper_short,SUI,BTC_ETH_basket,0.75086,"funding_ann=0.109500; spread_bps=0.2663; depth10=56885; volume24h=33207723",1h,4h,15m adverse excursion only,"SUI continues outperforming BTC/ETH after costs","short return plus BTC/ETH-relative weakness minus spread and simple taker-cost proxy"
wld-crowded-short-20260609T2245Z,2026-06-09T22:45:18Z,crypto_perp,crowded_positive_funding_short,paper_short,WLD,BTC_ETH_basket,0.51599,"funding_ann=0.109500; spread_bps=1.7430; depth10=17157; volume24h=76423140",1h,4h,15m adverse excursion only,"WLD continues outperforming BTC/ETH after costs","short return plus BTC/ETH-relative weakness minus spread and simple taker-cost proxy"
xmr-crowded-short-20260609T2245Z,2026-06-09T22:45:18Z,crypto_perp,crowded_positive_funding_short,paper_short,XMR,BTC_ETH_basket,307.8500,"funding_ann=0.109500; spread_bps=1.2990; depth10=9400; volume24h=6140646",1h,4h,15m adverse excursion only,"XMR continues outperforming BTC/ETH after costs","short return plus BTC/ETH-relative weakness minus spread and simple taker-cost proxy"
lit-momentum-fade-short-20260609T2245Z,2026-06-09T22:45:18Z,crypto_perp,extreme_move_fade,paper_short,LIT,BTC_ETH_basket,1.6457,"return24h=1075.4425bps; funding_ann=0.109500; volume24h=33621018; impact_spread=0.001924",1h,4h,15m adverse excursion only,"LIT keeps outperforming BTC/ETH or spread/depth makes fade uneconomic","short return plus BTC/ETH-relative weakness minus spread and simple taker-cost proxy"
rune-momentum-fade-short-20260609T2245Z,2026-06-09T22:45:18Z,crypto_perp,extreme_move_fade,paper_short,RUNE,BTC_ETH_basket,0.39005,"return24h=1143.0122bps; funding_ann=0.109500; volume24h=1080255; impact_spread=0.001922",1h,4h,15m adverse excursion only,"RUNE keeps outperforming BTC/ETH or volume/depth blocks the trade","short return plus BTC/ETH-relative weakness minus spread and simple taker-cost proxy"
vvv-downside-carry-long-20260609T2245Z,2026-06-09T22:45:18Z,crypto_perp,downside_carry_reversal,paper_long,VVV,BTC_ETH_basket,15.3930,"return24h=-808.5030bps; funding_ann=-0.070796; volume24h=14182143; OI_notional=23166121",1h,4h,15m adverse excursion only,"VVV keeps underperforming BTC/ETH or funding support disappears","relative return vs BTC/ETH basket minus spread and simple taker-cost proxy"
semis-soft-cpi-continuation-long-20260609T2235Z,2026-06-09T22:35:39Z,equity_etf,event_relative_strength,paper_long,SMH,QQQ_SPY_reference,591.0100,"anchor_followup_from_prior_event_batch; QQQ=707.8300; SMH move from 16:25 anchor=486.34bps",1h,4h,15m adverse excursion only,"SMH fails to outperform QQQ/SPY after the event condition","relative return vs QQQ/SPY reference"
nvda-ai-beta-continuation-long-20260609T2235Z,2026-06-09T22:35:39Z,equity,event_relative_strength,paper_long,NVDA,QQQ_reference,208.1900,"anchor_followup_from_prior_event_batch; NVDA move from 16:25 anchor=335.09bps; QQQ move=211.05bps",1h,4h,15m adverse excursion only,"NVDA fails to outperform QQQ or semis breadth disappears","relative return vs QQQ reference"
avgo-ai-beta-continuation-long-20260609T2235Z,2026-06-09T22:35:39Z,equity,event_relative_strength,paper_long,AVGO,QQQ_reference,392.1600,"anchor_followup_from_prior_event_batch; AVGO move from 16:25 anchor=419.26bps; QQQ move=211.05bps",1h,4h,15m adverse excursion only,"AVGO fails to outperform QQQ or semis breadth disappears","relative return vs QQQ reference"
mstr-residual-weakness-short-20260609T2235Z,2026-06-09T22:35:39Z,equity,crypto_equity_residual,paper_short,MSTR,BTC_QQQ_reference,117.0200,"anchor_followup_from_prior_event_batch; MSTR move=98.38bps; QQQ move=211.05bps",1h,4h,15m adverse excursion only,"MSTR outperforms BTC/QQQ reference or BTC shock explains the move","short return plus residual weakness vs BTC/QQQ reference"
hood-market-structure-beta-long-20260609T2235Z,2026-06-09T22:35:39Z,equity,market_structure_beta,paper_long,HOOD,QQQ_BTC_reference,83.7700,"anchor_followup_from_prior_event_batch; HOOD move=419.15bps; QQQ move=211.05bps",1h,4h,15m adverse excursion only,"HOOD stops outperforming QQQ/BTC or move is only generic equity beta","relative return vs QQQ/BTC reference"
coin-market-structure-beta-long-20260609T2235Z,2026-06-09T22:35:39Z,equity,market_structure_beta,paper_long,COIN,QQQ_BTC_reference,155.5000,"anchor_followup_from_prior_event_batch; COIN move=216.15bps; QQQ move=211.05bps",1h,4h,15m adverse excursion only,"COIN fails to show residual strength vs QQQ/BTC","relative return vs QQQ/BTC reference"
uso-hormuz-oil-long-20260609T2235Z,2026-06-09T22:35:39Z,commodity_etf,event_cross_asset,paper_long,USO,QQQ_BTC_reference,131.3000,"anchor_followup_from_prior_event_batch; USO move=187.77bps; independent shipping/prediction evidence still required",1h,4h,15m adverse excursion only,"USO rolls over or Hormuz/shipping evidence normalizes","directional return and lead/lag vs QQQ/BTC reference"
gld-stress-nonconfirmation-short-20260609T2235Z,2026-06-09T22:35:39Z,commodity_etf,stress_nonconfirmation,paper_short,GLD,TLT_QQQ_reference,390.7800,"anchor_followup_from_prior_event_batch; GLD move=-10.23bps; TLT flat; QQQ rebounded",1h,4h,15m adverse excursion only,"GLD reclaims stress bid while TLT/risk confirms stress","directional return and relative weakness vs stress proxies"
tlt-cpi-rate-path-conditional-20260609T2235Z,2026-06-09T22:35:39Z,rates_etf,macro_event_conditional,paper_conditional,TLT,CPI_reaction_reference,85.1200,"anchor_followup_from_prior_event_batch; TLT move=0.59bps from 16:25 anchor",1h,4h,15m adverse excursion only,"rates reaction contradicts CPI condition in first post-event window","directional return after CPI condition is known"
cpi-hot-risk-off-basket-20260609T2235Z,2026-06-09T22:35:39Z,macro_cross_asset,event_conditional,paper_conditional_short,"QQQ,SMH,NVDA,AVGO,BTC,ETH",TLT_GLD_USO_reference,"QQQ=707.83; SMH=591.01; NVDA=208.19; AVGO=392.16; BTC=61846; ETH=1645.8","condition must be known before scoring; not a free-form narrative trade",1h,4h,15m adverse excursion only,"CPI/reaction is dovish or risk assets rise despite rates pressure","basket return after condition, compared with rates/commodity confirmation"
cpi-soft-risk-on-basket-20260609T2235Z,2026-06-09T22:35:39Z,macro_cross_asset,event_conditional,paper_conditional_long,"SMH,QQQ,NVDA,AVGO,BTC,ETH",TLT_GLD_reference,"QQQ=707.83; SMH=591.01; NVDA=208.19; AVGO=392.16; BTC=61846; ETH=1645.8","condition must be known before scoring; require breadth, not one winner",1h,4h,15m adverse excursion only,"CPI/reaction is hawkish or breadth fails outside one mega-cap","basket return after condition, compared with rates/commodity confirmation"
copper-growth-proxy-long-20260609T2235Z,2026-06-09T22:35:39Z,commodity_etf,growth_proxy,paper_watch,CPER,QQQ_SMH_reference,no_fresh_anchor,"Yahoo realtime fetch was unstable; use only after anchor refresh before scoring",1h,4h,15m adverse excursion only,"CPER anchor cannot be refreshed or fails to outperform risk-on proxies","relative return vs QQQ/SMH after anchor refresh"
xle-oil-equity-beta-long-20260609T2235Z,2026-06-09T22:35:39Z,equity_etf,oil_equity_beta,paper_watch,XLE,USO_QQQ_reference,no_fresh_anchor,"Yahoo realtime fetch was unstable; use only after anchor refresh before scoring",1h,4h,15m adverse excursion only,"XLE anchor cannot be refreshed or fails to confirm USO strength","relative return vs USO/QQQ after anchor refresh"
