work_id,work_kind,priority,source_frontier_id,lane,asset,action,status,why_now,required_evidence,next_step
options_path_check-01-options-hedge-path-required-btc-long-atm-straddle,options_path_check,1440.00000000,options:btc_2026-06-26_long_atm_straddle,options_volatility,BTC,long_atm_straddle,options_hedge_path_required,"cheap-vol candidate exists, but the trade path is the missing evidence","multi-level sweep, delta hedge schedule, exit bid, margin, and realized hedge PnL","paper-check BTC 2026-06-26 long_atm_straddle with sweep depth, delta hedge marks, exit bid, max loss, and margin"
options_path_check-01-options-quote-mechanics-required-eth-long-atm-straddle,options_path_check,1440.00000000,options:eth_2026-06-19_long_atm_straddle,options_volatility,ETH,long_atm_straddle,options_quote_mechanics_required,"cheap-vol candidate exists, but the trade path is the missing evidence","spread, top depth, premium-at-risk, breakeven move, and hedge feasibility","review ETH 2026-06-19 long_atm_straddle spread, premium-at-risk, breakeven move, and hedge feasibility"
options_path_check-01-options-gamma-timing-required-eth-long-atm-straddle,options_path_check,1440.00000000,options:eth_2026-06-11_long_atm_straddle,options_volatility,ETH,long_atm_straddle,options_gamma_timing_required,"cheap-vol candidate exists, but the trade path is the missing evidence","gamma timing, hedge frequency, event risk, and expiry handling",check ETH 2026-06-11 long_atm_straddle gamma timing and hedge frequency before any paper promotion
options_path_check-02-options-gamma-timing-required-btc-long-atm-straddle,options_path_check,1430.00000000,options:btc_2026-06-10_long_atm_straddle,options_volatility,BTC,long_atm_straddle,options_gamma_timing_required,"cheap-vol candidate exists, but the trade path is the missing evidence","gamma timing, hedge frequency, event risk, and expiry handling",check BTC 2026-06-10 long_atm_straddle gamma timing and hedge frequency before any paper promotion
options_path_check-02-options-quote-mechanics-required-btc-long-atm-straddle,options_path_check,1430.00000000,options:btc_2026-06-12_long_atm_straddle,options_volatility,BTC,long_atm_straddle,options_quote_mechanics_required,"cheap-vol candidate exists, but the trade path is the missing evidence","spread, top depth, premium-at-risk, breakeven move, and hedge feasibility","review BTC 2026-06-12 long_atm_straddle spread, premium-at-risk, breakeven move, and hedge feasibility"
flow_label_or_data_check-01-direct-exchange-inflow-data-required-eth-stablecoin-supply-outflow,flow_label_or_data_check,1340.00000000,stablecoin_flow:Ethereum/ETH,stablecoin_exchange_inflow,ETH,stablecoin_supply_outflow,direct_exchange_inflow_data_required,"flow context is visible, but the alpha label or direct data source is missing","tagged exchange stablecoin deposits, provider access token, exchange/entity labels, and 1h return labels",obtain or emulate exchange-tagged stablecoin netflow for ETH; keep Ethereum chain supply out of the direct alpha label
flow_label_or_data_check-01-chain-proxy-alpha-needs-label-sol-stablecoin-supply-inflow,flow_label_or_data_check,1340.00000000,stablecoin_flow:Solana/SOL,stablecoin_exchange_inflow,SOL,stablecoin_supply_inflow,chain_proxy_alpha_needs_label,"flow context is visible, but the alpha label or direct data source is missing","chain proxy forward labels, beta control, bridge route, funding PnL, spread/depth, and venue mapping","label SOL as chain-liquidity proxy, then compare against beta and costs before any trade"
flow_label_or_data_check-02-chain-proxy-alpha-needs-label-pol-stablecoin-supply-outflow,flow_label_or_data_check,1330.00000000,stablecoin_flow:Polygon/POL,stablecoin_exchange_inflow,POL,stablecoin_supply_outflow,chain_proxy_alpha_needs_label,"flow context is visible, but the alpha label or direct data source is missing","chain proxy forward labels, beta control, bridge route, funding PnL, spread/depth, and venue mapping","label POL as chain-liquidity proxy, then compare against beta and costs before any trade"
crowding_unwind_label-01-crowding-needs-forward-unwind-label-aster-short-carry-reversion-watch,crowding_unwind_label,1270.00000000,crowding:ASTER:short_carry_reversion_watch,crowded_positioning,ASTER,short_carry_reversion_watch,crowding_needs_forward_unwind_label,"crowding context is visible, but continuation versus unwind is not labeled",cross-venue context exists but forward labels are not established,label ASTER continuation versus unwind before treating crowding as alpha
crowding_unwind_label-01-crowding-without-unwind-label-sahara-short-carry-reversion-watch,crowding_unwind_label,1270.00000000,crowding:SAHARA:short_carry_reversion_watch,crowded_positioning,SAHARA,short_carry_reversion_watch,crowding_without_unwind_label,"crowding context is visible, but continuation versus unwind is not labeled",crowding context is visible but not connected to return-supported unwind labels,collect SAHARA unwind labels before using crowded positioning as a signal
crowding_unwind_label-02-crowding-without-unwind-label-zec-long-carry-reversion-watch,crowding_unwind_label,1260.00000000,crowding:ZEC:long_carry_reversion_watch,crowded_positioning,ZEC,long_carry_reversion_watch,crowding_without_unwind_label,"crowding context is visible, but continuation versus unwind is not labeled",crowding context is visible but not connected to return-supported unwind labels,collect ZEC unwind labels before using crowded positioning as a signal
crowding_unwind_label-03-crowding-without-unwind-label-khusdt-long-carry-reversion-watch,crowding_unwind_label,1250.00000000,crowding:KHUSDT:long_carry_reversion_watch,crowded_positioning,KHUSDT,long_carry_reversion_watch,crowding_without_unwind_label,"crowding context is visible, but continuation versus unwind is not labeled",crowding context is visible but not connected to return-supported unwind labels,collect KHUSDT unwind labels before using crowded positioning as a signal
crowding_unwind_label-04-crowding-without-unwind-label-kbeatusdt-long-carry-reversion-watch,crowding_unwind_label,1240.00000000,crowding:KBEATUSDT:long_carry_reversion_watch,crowded_positioning,KBEATUSDT,long_carry_reversion_watch,crowding_without_unwind_label,"crowding context is visible, but continuation versus unwind is not labeled",crowding context is visible but not connected to return-supported unwind labels,collect KBEATUSDT unwind labels before using crowded positioning as a signal
crowding_unwind_label-05-crowding-without-unwind-label-lab-short-carry-reversion-watch,crowding_unwind_label,1230.00000000,crowding:LAB:short_carry_reversion_watch,crowded_positioning,LAB,short_carry_reversion_watch,crowding_without_unwind_label,"crowding context is visible, but continuation versus unwind is not labeled",crowding context is visible but not connected to return-supported unwind labels,collect LAB unwind labels before using crowded positioning as a signal
news_source_quality_check-01-news-pending-forward-archive-btc-paper-long-news-event,news_source_quality_check,1230.00000000,news:btc_institutional_flow_paper_long_news_event,news_event,BTC,paper_long_news_event,news_pending_forward_archive,news move needs forward archive or independent-source support,"fresh labels are still pending, so source independence cannot be judged yet","wait for BTC forward archives, then rerun source independence"
event_alignment_check-01-event-hedge-pending-mark-btc-paper-long,event_alignment_check,1190.00000000,event_hedge:btc_1962237_event_crypto_hedge,prediction_market_event_hedge,BTC,paper_long,event_hedge_pending_mark,crypto move must align with event-price movement before promotion,candidate is waiting for a usable reaction mark,"wait for the mark, then rerun beta and event-alignment checks"
event_alignment_check-01-event-hedge-unproven-btc-paper-short,event_alignment_check,1190.00000000,event_hedge:btc_2296152_event_crypto_hedge,prediction_market_event_hedge,BTC,paper_short,event_hedge_unproven,crypto move must align with event-price movement before promotion,candidate does not yet have enough survival evidence,keep as context until event alignment and controls survive
event_alignment_check-02-event-hedge-unproven-eth-paper-short,event_alignment_check,1180.00000000,event_hedge:eth_2296152_event_crypto_hedge,prediction_market_event_hedge,ETH,paper_short,event_hedge_unproven,crypto move must align with event-price movement before promotion,candidate does not yet have enough survival evidence,keep as context until event alignment and controls survive
event_alignment_check-03-event-hedge-unproven-sol-paper-short,event_alignment_check,1170.00000000,event_hedge:sol_2296152_event_crypto_hedge,prediction_market_event_hedge,SOL,paper_short,event_hedge_unproven,crypto move must align with event-price movement before promotion,candidate does not yet have enough survival evidence,keep as context until event alignment and controls survive
resize_or_depth_check-01-capacity-blocked-bera-paper-long,resize_or_depth_check,1110.00000000,cost_candidate:promoted_repeat:repeat-paper-22-bera-microstructure-flow,cost_adjusted_candidate,BERA,paper_long,capacity_blocked,paper edge is positive but current size/depth assumption blocks promotion,paper edge is positive but current size consumes too much visible depth,reduce size or wait for better depth before repeating this candidate
news_source_quality_check-01-news-single-source-blocked-zec-paper-long-news-event,news_source_quality_check,939.07142857,news:zec_narrative_event_paper_long_news_event,news_event,ZEC,paper_long_news_event,news_single_source_blocked,news move needs forward archive or independent-source support,supported forward label still comes from one source only,seek another independent ZEC source before treating the story as alpha
news_source_quality_check-02-news-single-source-blocked-zec-paper-short-news-event,news_source_quality_check,919.28408540,news:zec_security_risk_paper_short_news_event,news_event,ZEC,paper_short_news_event,news_single_source_blocked,news move needs forward archive or independent-source support,supported forward label still comes from one source only,seek another independent ZEC source before treating the story as alpha
event_alignment_check-01-event-hedge-event-alignment-blocked-btc-paper-long,event_alignment_check,859.25663208,event_hedge:btc_1971905_event_crypto_hedge,prediction_market_event_hedge,BTC,paper_long,event_hedge_event_alignment_blocked,crypto move must align with event-price movement before promotion,"crypto moved, but the event-market paper mark was flat",do not promote; require event-price movement before treating the crypto move as event alpha
event_alignment_check-02-event-hedge-event-alignment-blocked-sol-paper-long,event_alignment_check,848.96411995,event_hedge:sol_1971905_event_crypto_hedge,prediction_market_event_hedge,SOL,paper_long,event_hedge_event_alignment_blocked,crypto move must align with event-price movement before promotion,"crypto moved, but the event-market paper mark was flat",do not promote; require event-price movement before treating the crypto move as event alpha
event_alignment_check-03-event-hedge-event-alignment-blocked-eth-paper-long,event_alignment_check,837.29435402,event_hedge:eth_1971905_event_crypto_hedge,prediction_market_event_hedge,ETH,paper_long,event_hedge_event_alignment_blocked,crypto move must align with event-price movement before promotion,"crypto moved, but the event-market paper mark was flat",do not promote; require event-price movement before treating the crypto move as event alpha
resize_or_depth_check-02-capacity-blocked-xpl-paper-long,resize_or_depth_check,822.90226182,cost_cluster:xpl_paper_long,cost_survival,XPL,paper_long,capacity_blocked,paper edge is positive but current size/depth assumption blocks promotion,paper edge is still blocked by visible-depth or size assumptions,do not scale XPL paper_long; rerun only with smaller size or deeper book
maker_queue_label_check-01-maker-adverse-selection-blocked-taker-pressure-paper-short,maker_queue_label_check,488.72819901,lob_maker:taker_pressure_world_replay_taker_long_short_volume_ratio_5m_bottom_20_paper_short,lob_maker_fill,taker_pressure,paper_short,maker_adverse_selection_blocked,maker full-fill optimism is blocked by adverse-selection fill proxy,passive fills are mostly adverse after the mark crosses the order,reject or require a cancel rule before the order is crossed
maker_queue_label_check-02-maker-adverse-selection-blocked-order-book-imbalance-paper-short,maker_queue_label_check,464.62336576,lob_maker:order_book_imbalance_world_replay_imbalance_1pct_bottom_20_paper_short,lob_maker_fill,order_book_imbalance,paper_short,maker_adverse_selection_blocked,maker full-fill optimism is blocked by adverse-selection fill proxy,passive fills are mostly adverse after the mark crosses the order,reject or require a cancel rule before the order is crossed
maker_queue_label_check-03-maker-adverse-selection-blocked-liquidity-change-paper-short,maker_queue_label_check,426.49245982,lob_maker:liquidity_change_sequence_state_ask_liquidity_change_5_top_20_paper_short,lob_maker_fill,liquidity_change,paper_short,maker_adverse_selection_blocked,maker full-fill optimism is blocked by adverse-selection fill proxy,passive fills are mostly adverse after the mark crosses the order,reject or require a cancel rule before the order is crossed
resize_or_depth_check-03-capacity-blocked-pump-paper-long,resize_or_depth_check,171.77464148,cost_cluster:pump_paper_long,cost_survival,PUMP,paper_long,capacity_blocked,paper edge is positive but current size/depth assumption blocks promotion,paper edge is still blocked by visible-depth or size assumptions,do not scale PUMP paper_long; rerun only with smaller size or deeper book
