candidate_id,family,instrument,decision,entry,current,raw_bps,directional_bps,current_input_status,outcome_read,next_action
micro-sui-aligned-pressure-long-20260609T2332Z,microstructure,SUI,paper_long,0.749135,0.746200,-39.1785,-39.1785,current_hl_snapshot,late_neutral_not_exact_1h_or_4h,"do not promote; neutral delayed result"
micro-hype-divergent-flow-long-20260609T2332Z,microstructure,HYPE,paper_long,57.621500,55.533000,-362.4515,-362.4515,current_hl_snapshot,late_adverse_not_exact_1h_or_4h,"reject current row; divergence did not support long"
wallet-eth-seed-flow-long-20260609T2332Z,wallet_entity_flow,ETH,paper_long,,,,,stale_not_scored,not_scored_until_source_is_refreshed,"refresh or discard; do not score stale wallet row"
wallet-zec-seed-flow-long-20260609T2332Z,wallet_entity_flow,ZEC,paper_long,,,,,stale_not_scored,not_scored_until_source_is_refreshed,"refresh or discard; do not score stale wallet row"
wallet-apt-seed-flow-long-20260609T2332Z,wallet_entity_flow,APT,paper_long,,,,,stale_not_scored,not_scored_until_source_is_refreshed,"refresh or discard; do not score stale wallet row"
wallet-hype-seed-flow-short-20260609T2332Z,wallet_entity_flow,HYPE,paper_short,,,,,stale_not_scored,not_scored_until_source_is_refreshed,"refresh or discard; do not score stale wallet row"
attn-h-price-lag-long-20260609T2333Z,attention_event,H,paper_long,0.166313,0.165437,-52.6718,-52.6718,fresh_attention_refresh,late_adverse_not_exact_1h_or_4h,"reject current row; attention lag did not help on delayed follow-up"
attn-wld-chase-fade-watch-20260609T2333Z,attention_event,WLD,paper_watch_fade,0.509002,0.495297,,,fresh_attention_refresh,not_scored_watch_only,"keep watch-only; no direct trade direction was committed"
attn-zec-capitulation-reversal-watch-20260609T2333Z,attention_event,ZEC,paper_watch_reversal,430.700000,428.840000,,,fresh_attention_refresh,not_scored_watch_only,"keep watch-only only if a future reversal trigger appears"
attn-hype-capitulation-reversal-watch-20260609T2333Z,attention_event,HYPE,paper_watch_reversal,57.650000,55.290000,,,fresh_attention_refresh,not_scored_watch_only,"keep watch-only; current direction still weak"
attn-beat-chase-fade-watch-20260609T2333Z,attention_event,BEAT,paper_watch_fade,4.750000,5.160000,,,fresh_attention_refresh,not_scored_watch_only,"keep watch-only; chase risk intensified but route is unknown"
pred-btc-peace-risk-relief-long-20260609T2332Z,prediction_market,BTC,paper_long,61684.5000,61533.0000,-24.5605,-24.5605,current_hl_snapshot,late_neutral_not_exact_1h_or_4h,"do not promote; event hedge did not create clear BTC move"
pred-btc-hormuz-normal-risk-relief-long-20260609T2332Z,prediction_market,BTC,paper_long,61684.5000,61533.0000,-24.5605,-24.5605,current_hl_snapshot,late_neutral_not_exact_1h_or_4h,"do not promote; needs oil/shipping confirmation"
pred-btc-israel-airspace-risk-short-20260609T2332Z,prediction_market,BTC,paper_short,61684.5000,61533.0000,-24.5605,24.5605,current_hl_snapshot,late_neutral_not_exact_1h_or_4h,"do not promote; neutral delayed result"
pred-eth-israel-airspace-risk-short-20260609T2332Z,prediction_market,ETH,paper_short,,1633.4000,,,current_hl_snapshot,not_scored_missing_entry,"do not score; entry anchor was incomplete"
opt-eth-10jun-put-skew-watch-20260609T2333Z,options_vol,ETH,paper_vol_hedge_watch,,,,,current_options_refresh,"current_action=put_skew_watch; current_skew=40.7300; current_score=81.719517","keep as vol-context lead; not a naked spot signal"
opt-btc-10jun-put-skew-watch-20260609T2333Z,options_vol,BTC,paper_vol_hedge_watch,,,,,current_options_refresh,"current_action=put_skew_watch; current_skew=31.0000; current_score=77.232420","keep as vol-context lead; skew intensified"
opt-eth-11jun-put-skew-watch-20260609T2333Z,options_vol,ETH,paper_vol_hedge_watch,,,,,current_options_refresh,"current_action=put_skew_watch; current_skew=17.9900; current_score=33.427484","keep as vol-context lead; requires hedge PnL"
xvenue-brett-bybit-hl-funding-20260609T2332Z,cross_venue_funding,BRETT,paper_funding_watch,,,,,stale_not_scored,not_scored_until_source_is_refreshed,"refresh or discard; do not score stale cross-venue row"
xvenue-stable-bybit-hl-funding-20260609T2332Z,cross_venue_funding,STABLE,paper_funding_watch,,,,,stale_not_scored,not_scored_until_source_is_refreshed,"refresh or discard; do not score stale cross-venue row"
xvenue-zec-okx-hl-funding-20260609T2332Z,cross_venue_funding,ZEC,paper_funding_watch,,,,,stale_not_scored,not_scored_until_source_is_refreshed,"refresh or discard; do not score stale cross-venue row"
basis-btc-25sep26-rich-future-20260609T2332Z,basis_term_structure,BTC,paper_short_future_long_spot_or_perp,,,,,stale_not_scored,not_scored_until_source_is_refreshed,"refresh or discard; do not score stale basis row"
basis-eth-12jun26-cheap-future-20260609T2332Z,basis_term_structure,ETH,paper_long_future_short_spot_or_perp,,,,,stale_not_scored,not_scored_until_source_is_refreshed,"refresh or discard; do not score stale basis row"
legacy-zec-carry-relative-20260609T2245Z,legacy_shallow_screen,ZEC,paper_long,439.2900,429.1900,-229.9165,-229.9165,current_hl_snapshot,late_adverse_not_exact_1h_or_4h,"reject; legacy shallow and adverse"
legacy-morpho-carry-strength-20260609T2245Z,legacy_shallow_screen,MORPHO,paper_long,1.900100,1.912500,65.2597,65.2597,current_hl_snapshot,late_favorable_not_exact_1h_or_4h,"do not promote; legacy shallow even though delayed mark is favorable"
legacy-hype-relative-weakness-20260609T2245Z,legacy_shallow_screen,HYPE,paper_short,57.817000,55.533000,-395.0395,395.0395,current_hl_snapshot,late_favorable_not_exact_1h_or_4h,"do not promote; legacy shallow and original microstructure long was adverse"
