plan_id,cluster_id,asset,cluster_decision,lane_opportunity,lane_bias,lane_side,lane_status,lane_priority_score,conflict_role,support_state,lane_action,resolution_action,resolution_score,source_lanes,cluster_score,evidence,required_record,next_step
split-first-sol-sol-event-pressure-cluster,sol_paper_long,SOL,paper_long,sol_event_pressure_cluster,neutral,,two_source_event_pressure,81.39989143,direction_conflict_lane,unlabeled,label_this_lane_separately,separate_non_directional_lane,201.15292511,"promoted_repeat, second_promoted_repeat, symbol_lane_paper, symbol_lane_promoted_repeat",947.53033678,"SOL: sources=attention_price, exchange_catalyst, events=2, newest_age_h=0.000000, top=attention_price_lag_candidate: rank=7; price_1h=1.07; price_24h=4.01; price_7d=-15.62; price_30d=-27.87; volume_to_mcap=0.0874 || exchange_removal_watch: Binance Alpha Will Remove REX, XO, TANSSI, DARKSTAR, YALA, RCADE, RDAC, SKATE, OVL, SLAY, Ghibli (SOL), Ghibli (BSC), PHY, VLR, SVSA, WBAI, EDGEN, FAIR3, MM, BUBB, AICELL, XLAB, SIGHT (2026-04-30)","relative-value or neutral mechanics, hedge leg, unwind path, costs, margin, and mark source","model SOL/sol_event_pressure_cluster as a separate non-directional setup, not as a cluster repeat"
split-first-zec-zec-attention-price-context,zec_paper_long,ZEC,paper_long,zec_attention_price_context,long,long,attention_price_lag_candidate,72.40975395,dominant_lane,unlabeled,label_this_lane_separately,label_before_lane_repeat,198.68399396,"promoted_repeat, symbol_lane_paper, symbol_lane_promoted_repeat",762.74240011,"ZEC: name=Zcash, rank=2, price24h=1.55399868, price7d=-17.48774114, price30d=-25.34698347, vol_mcap=0.12111599","lane-only forward label, source timestamp, duplicate-source check, cost and depth context",label ZEC/zec_attention_price_context alone before any repeat
split-first-hype-hype-crowded-momentum-continuation-actionability,hype_paper_long,HYPE,paper_long,hype_crowded_momentum_continuation_actionability,long,long,dislocation_repeat_needs_execution_check,52.23127427,dominant_lane,pending_label,label_this_lane_separately,label_before_lane_repeat,197.77030228,"promoted_repeat, symbol_lane_paper, symbol_lane_promoted_repeat",1005.39028009,"HYPE: source=paper_crowded_momentum_continuation_candidate, monitor_obs=8, current15=pending_15m 0.00000000, current1h=pending_1h 0.00000000, gate=, cons_net1h=0.00000000, history=repeat_paper_probe_priority, hist_win1h=2, hist_mean1h=78.76456095","lane-only forward label, source timestamp, duplicate-source check, cost and depth context",label HYPE/hype_crowded_momentum_continuation_actionability alone before any repeat
split-first-hype-hype-attention-funding-overlap,hype_paper_long,HYPE,paper_long,hype_attention_funding_overlap,neutral,,paper_attention_funding_watch,66.25566549,direction_conflict_lane,unlabeled,label_this_lane_separately,separate_non_directional_lane,191.79469350,"promoted_repeat, symbol_lane_paper, symbol_lane_promoted_repeat",1005.39028009,"HYPE/Hyperliquid: attention_rank=1, attention_change=10.03822924, funding=0.28021050, impact_spread=0.000114119162","relative-value or neutral mechanics, hedge leg, unwind path, costs, margin, and mark source","model HYPE/hype_attention_funding_overlap as a separate non-directional setup, not as a cluster repeat"
split-first-eth-eth-1971905-event-crypto-hedge,eth_paper_long,ETH,paper_long,eth_1971905_event_crypto_hedge,long,long,event_crypto_hedge_after_refresh_candidate,102.03608228,direction_conflict_lane,unlabeled,label_this_lane_separately,use_as_conflict_control,191.01422543,"promoted_repeat, symbol_lane_paper, symbol_lane_promoted_repeat",789.78143152,"ETH: event_market=1971905, action=paper_long, bias=risk_relief, gap=0.335000, edge_after_ask=0.330000, depth_5c=214008.090000, question=Strait of Hormuz traffic returns to normal by end of June?",negative-control label and reason this lane must not be merged into the cluster action,use ETH/eth_1971905_event_crypto_hedge as a conflict-control lane
split-first-sol-solana-worldcup-sol-dex-pool,sol_paper_long,SOL,paper_long,solana_worldcup_sol_dex_pool,neutral,,paper_dex_pool_momentum_watch,68.20621953,direction_conflict_lane,unlabeled,label_this_lane_separately,separate_non_directional_lane,187.95925321,"promoted_repeat, second_promoted_repeat, symbol_lane_paper, symbol_lane_promoted_repeat",947.53033678,"solana/pumpswap WORLDCUP / SOL: reserve=352176.24030000, vol1h=105324.96438267, vol_reserve=0.29906891, chg1h=7.20000000, chg24h=51.15700000","relative-value or neutral mechanics, hedge leg, unwind path, costs, margin, and mark source","model SOL/solana_worldcup_sol_dex_pool as a separate non-directional setup, not as a cluster repeat"
split-first-sol-solana-bountywork-sol-dex-pool,sol_paper_long,SOL,paper_long,solana_bountywork_sol_dex_pool,neutral,,paper_dex_reversal_risk_watch,67.90281455,direction_conflict_lane,unlabeled,label_this_lane_separately,separate_non_directional_lane,187.65584823,"promoted_repeat, second_promoted_repeat, symbol_lane_paper, symbol_lane_promoted_repeat",947.53033678,"solana/pumpswap Bountywork / SOL: reserve=113153.05520000, vol1h=149342.72921304, vol_reserve=1.31982940, chg1h=2.89200000, chg24h=117.67000000","relative-value or neutral mechanics, hedge leg, unwind path, costs, margin, and mark source","model SOL/solana_bountywork_sol_dex_pool as a separate non-directional setup, not as a cluster repeat"
split-first-sol-okx-sol-chain-flow-context,sol_paper_long,SOL,paper_long,okx_sol_chain_flow_context,neutral,,paper_chain_flow_watch,66.62818980,direction_conflict_lane,unlabeled,label_this_lane_separately,separate_non_directional_lane,186.38122348,"promoted_repeat, second_promoted_repeat, symbol_lane_paper, symbol_lane_promoted_repeat",947.53033678,"OKX/SOL: observations=4, hit15=0.50000000, mean_dir15=0.00046158, funding_support=0.38344944","relative-value or neutral mechanics, hedge leg, unwind path, costs, margin, and mark source","model SOL/okx_sol_chain_flow_context as a separate non-directional setup, not as a cluster repeat"
split-first-hype-public-hypertracker-example-hype-wallet-flow-actionability,hype_paper_long,HYPE,paper_long,public_hypertracker_example_hype_wallet_flow_actionability,short,short,wallet_flow_watch,62.29367853,direction_conflict_lane,unlabeled,label_this_lane_separately,isolate_opposite_lane,182.83270654,"promoted_repeat, symbol_lane_paper, symbol_lane_promoted_repeat",1005.39028009,"HYPE: wallet=public_hypertracker_example, source_coin=HYPE, fills=33, net_buy_usd=-128.54098000, net_pnl_after_fees=123.16488700, position_notional=0.00000000, mark=64.840000000000","opposite-lane source quality, causal timestamp, failure reason for cluster direction, separate label",keep HYPE/public_hypertracker_example_hype_wallet_flow_actionability outside the cluster repeat and use it as an opposite-direction control
split-first-eth-public-hypertracker-example-eth-wallet-flow-actionability,eth_paper_long,ETH,paper_long,public_hypertracker_example_eth_wallet_flow_actionability,long,long,wallet_position_follow_candidate,92.90791736,direction_conflict_lane,unlabeled,label_this_lane_separately,use_as_conflict_control,181.88606051,"promoted_repeat, symbol_lane_paper, symbol_lane_promoted_repeat",789.78143152,"ETH: wallet=public_hypertracker_example, source_coin=ETH, fills=79, net_buy_usd=6903.68625000, net_pnl_after_fees=414.57586100, position_notional=4748.34714000, mark=1697.300000000000",negative-control label and reason this lane must not be merged into the cluster action,use ETH/public_hypertracker_example_eth_wallet_flow_actionability as a conflict-control lane
split-first-eth-eth-public-treasury-flow,eth_paper_long,ETH,paper_long,eth_public_treasury_flow,neutral,,public_treasury_concentration_watch,77.57890000,direction_conflict_lane,unlabeled,label_this_lane_separately,separate_non_directional_lane,181.55704315,"promoted_repeat, symbol_lane_paper, symbol_lane_promoted_repeat",789.78143152,"ETH: dominance=6.26000000, total_holdings=7555329.90587600, top=BitMine Immersion/BMNR.US, top_supply_pct=4.59400000, funding=0.10950000, oi_notional=1169973223.85","relative-value or neutral mechanics, hedge leg, unwind path, costs, margin, and mark source","model ETH/eth_public_treasury_flow as a separate non-directional setup, not as a cluster repeat"
split-first-eth-crypto-equity-proxy-lead-short,eth_paper_long,ETH,paper_long,crypto_equity_proxy_lead_short,short,short,paper_short_candidate,80.56427340,direction_conflict_lane,unlabeled,label_this_lane_separately,isolate_opposite_lane,179.54241655,"promoted_repeat, symbol_lane_paper, symbol_lane_promoted_repeat",789.78143152,crypto-linked equities underperform BTC while BTC has not repriced much,"opposite-lane source quality, causal timestamp, failure reason for cluster direction, separate label",keep ETH/crypto_equity_proxy_lead_short outside the cluster repeat and use it as an opposite-direction control
split-first-eth-exchange-beta-lead,eth_paper_long,ETH,paper_long,exchange_beta_lead,short,short,paper_short_candidate,80.38878100,direction_conflict_lane,unlabeled,label_this_lane_separately,isolate_opposite_lane,179.36692415,"promoted_repeat, symbol_lane_paper, symbol_lane_promoted_repeat",789.78143152,COIN/HOOD underperform BTC while BTC has not repriced much,"opposite-lane source quality, causal timestamp, failure reason for cluster direction, separate label",keep ETH/exchange_beta_lead outside the cluster repeat and use it as an opposite-direction control
split-first-eth-eth-12jun26-basis,eth_paper_long,ETH,paper_long,eth-12jun26_basis,relative_value,,paper_long_basis_watch,75.08298945,dominant_lane,unlabeled,label_this_lane_separately,separate_non_directional_lane,179.06113260,"promoted_repeat, symbol_lane_paper, symbol_lane_promoted_repeat",789.78143152,"ETH-12JUN26: ann_basis=-0.05168861, basis=-0.00052402, dte=3.7004, volume_usd=4435836.00000000, spread=0.00029455","relative-value or neutral mechanics, hedge leg, unwind path, costs, margin, and mark source","model ETH/eth-12jun26_basis as a separate non-directional setup, not as a cluster repeat"
split-first-eth-eth-treasury-proxy-lead,eth_paper_long,ETH,paper_long,eth_treasury_proxy_lead,neutral,,eth_treasury_proxy_watch,73.79686590,direction_conflict_lane,unlabeled,label_this_lane_separately,separate_non_directional_lane,177.77500905,"promoted_repeat, symbol_lane_paper, symbol_lane_promoted_repeat",789.78143152,ETH treasury equities are a current institutional demand proxy; strongest=BTBT vs_eth_5d=-0.1039,"relative-value or neutral mechanics, hedge leg, unwind path, costs, margin, and mark source","model ETH/eth_treasury_proxy_lead as a separate non-directional setup, not as a cluster repeat"
split-first-hype-hype-protocol-fee-growth,hype_paper_long,HYPE,paper_long,hype_protocol_fee_growth,short,short,paper_long_context,61.93260178,direction_conflict_lane,mechanics_unvalidated,label_this_lane_separately,isolate_opposite_lane,177.47162979,"promoted_repeat, symbol_lane_paper, symbol_lane_promoted_repeat",1005.39028009,"HYPE/Hyperliquid Perps: fees7d=28154279.00000000, fees30d=72198318.00000000, growth7d=111.41000000, funding=0.03093882; fee_growth_7d=111.41; funding=0.0309; perp_pressure=short_carry_premium_watch; unlock=paper_short_candidate/short","opposite-lane source quality, causal timestamp, failure reason for cluster direction, separate label",keep HYPE/hype_protocol_fee_growth outside the cluster repeat and use it as an opposite-direction control
split-first-sol-public-live-bot-example-sol-wallet-flow-actionability,sol_paper_long,SOL,paper_long,public_live_bot_example_sol_wallet_flow_actionability,short,short,wallet_flow_watch,62.48319175,direction_conflict_lane,unlabeled,label_this_lane_separately,isolate_opposite_lane,177.23622543,"promoted_repeat, second_promoted_repeat, symbol_lane_paper, symbol_lane_promoted_repeat",947.53033678,"SOL: wallet=public_live_bot_example, source_coin=SOL, fills=194, net_buy_usd=-4.68633000, net_pnl_after_fees=2.54462400, position_notional=0.00000000, mark=67.495000000000","opposite-lane source quality, causal timestamp, failure reason for cluster direction, separate label",keep SOL/public_live_bot_example_sol_wallet_flow_actionability outside the cluster repeat and use it as an opposite-direction control
split-first-eth-eth-26mar27-basis,eth_paper_long,ETH,paper_long,eth-26mar27_basis,relative_value,,paper_short_basis_watch,73.23075053,dominant_lane,unlabeled,label_this_lane_separately,separate_non_directional_lane,177.20889368,"promoted_repeat, symbol_lane_paper, symbol_lane_promoted_repeat",789.78143152,"ETH-26MAR27: ann_basis=0.03329783, basis=0.02651970, dte=290.7004, volume_usd=4153077.00000000, spread=0.00014340","relative-value or neutral mechanics, hedge leg, unwind path, costs, margin, and mark source","model ETH/eth-26mar27_basis as a separate non-directional setup, not as a cluster repeat"
split-first-zec-zec-oi-unwind-watch,zec_paper_long,ZEC,paper_long,zec_oi_unwind_watch,neutral,,paper_oi_unwind_watch,74.09111112,direction_conflict_lane,unlabeled,label_this_lane_separately,separate_non_directional_lane,175.36535113,"promoted_repeat, symbol_lane_paper, symbol_lane_promoted_repeat",762.74240011,"ZEC: obs=17, oi_change=-0.01677105, ret24=0.18264728, funding=-0.34577209, oi_vol=0.42561027, impact=0.000375546857, reason=OI notional is falling into an up move; test short-cover exhaustion versus cleaner continuation","relative-value or neutral mechanics, hedge leg, unwind path, costs, margin, and mark source","model ZEC/zec_oi_unwind_watch as a separate non-directional setup, not as a cluster repeat"
split-first-eth-eth-perp-variational-omni-positioning,eth_paper_long,ETH,paper_long,eth-perp_variational_omni_positioning,short,short,paper_oi_funding_crowding_watch,72.61112139,direction_conflict_lane,unlabeled,label_this_lane_separately,isolate_opposite_lane,171.58926454,"promoted_repeat, symbol_lane_paper, symbol_lane_promoted_repeat",789.78143152,"Variational Omni ETH-PERP: oi=143939277.59999999, vol24=81508423.75797845, oi_vol=1.76594358, funding=-0.14570000, basis=0.09489064","opposite-lane source quality, causal timestamp, failure reason for cluster direction, separate label",keep ETH/eth-perp_variational_omni_positioning outside the cluster repeat and use it as an opposite-direction control
split-first-hype-hype-unlock-actionability,hype_paper_long,HYPE,paper_long,hype_unlock_actionability,short,short,unlock_event_label_pending,56.00983962,direction_conflict_lane,pending_label,label_this_lane_separately,isolate_opposite_lane,171.54886763,"promoted_repeat, symbol_lane_paper, symbol_lane_promoted_repeat",1005.39028009,"HYPE: ticket=paper_short_candidate 32.69651590, days_until=27, unlock_value=594900000.00, supply=4.5000%, funding=0.10950000, volume=881357290.96877921, impact=0.000129841022, market_action=large_unlock_watch","opposite-lane source quality, causal timestamp, failure reason for cluster direction, separate label",keep HYPE/hype_unlock_actionability outside the cluster repeat and use it as an opposite-direction control
split-first-sol-sol-protocol-fee-actionability,sol_paper_long,SOL,paper_long,sol_protocol_fee_actionability,short,short,protocol_fee_pending_forward_label,61.14283856,direction_conflict_lane,pending_label,label_this_lane_separately,isolate_opposite_lane,170.89587224,"promoted_repeat, second_promoted_repeat, symbol_lane_paper, symbol_lane_promoted_repeat",947.53033678,"SOL/Solana: thesis=fee_decay_price_weakness_context 10.70963900, fee_to_mcap=0.00802380, growth7d=-8.33000000, price7d=-15.59631699, exec=, labels=4, labeled4h=0, wins4h=0, mean4h=0.00000000, latest_label=pending_4h","opposite-lane source quality, causal timestamp, failure reason for cluster direction, separate label",keep SOL/sol_protocol_fee_actionability outside the cluster repeat and use it as an opposite-direction control
split-first-eth-okx-eth-chain-flow-context,eth_paper_long,ETH,paper_long,okx_eth_chain_flow_context,neutral,,paper_chain_flow_watch,66.85329490,direction_conflict_lane,unlabeled,label_this_lane_separately,separate_non_directional_lane,170.83143805,"promoted_repeat, symbol_lane_paper, symbol_lane_promoted_repeat",789.78143152,"OKX/ETH: observations=4, hit15=1.00000000, mean_dir15=0.00140417, funding_support=0.15684211","relative-value or neutral mechanics, hedge leg, unwind path, costs, margin, and mark source","model ETH/okx_eth_chain_flow_context as a separate non-directional setup, not as a cluster repeat"
split-first-eth-ethereum-stablecoin-migration,eth_paper_long,ETH,paper_long,ethereum_stablecoin_migration,neutral,,chain_stablecoin_flow_reversal_watch,71.34035136,direction_conflict_lane,pending_label,label_this_lane_separately,separate_non_directional_lane,170.31849451,"promoted_repeat, symbol_lane_paper, symbol_lane_promoted_repeat",789.78143152,"Ethereum/ETH: supply=147257248777.50, day_change=-133182923.30, week_change=-2549343868.46, week_pct=-0.01701757, top_asset=USDT; label=pending_4h, dir1h=, dir4h=, dir12h=","relative-value or neutral mechanics, hedge leg, unwind path, costs, margin, and mark source","model ETH/ethereum_stablecoin_migration as a separate non-directional setup, not as a cluster repeat"
