symbol,decision,side_hint,total_score,fundamental_score,sentiment_score,sector_score,funding_score,source_count,evidence,conflict,missing_data,next_probe,research_reference
LAYER,insufficient_cross_section_context,none,63.59959104,0.00000000,0.00000000,0.00000000,55.59959104,1,funding_spread=3.82494888; long=HlPerp; short=BinPerp || okx_hl_net24=0.00736106; capacity=2910.04589987,none,"neutral universe, rebalance timestamp, forward labels, feature ablation, and transaction costs",keep LAYER as context until another feature source appears,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5079335
PENDLE,insufficient_cross_section_context,long_bias,59.02159066,42.50440026,0.00000000,0.00000000,0.51719040,2,fundamental=Pendle; side=long_token; status=protocol_fee_pending_forward_label; score=42.50440026 || funding_spread=0.06464880; long=BinPerp; short=HlPerp,none,"neutral universe, rebalance timestamp, forward labels, feature ablation, and transaction costs",keep PENDLE as context until another feature source appears,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5079335
AAVE,insufficient_cross_section_context,long_bias,58.55488786,40.38594250,0.00000000,0.00000000,2.16894536,2,fundamental=Aave V3; side=long_token; status=protocol_fee_label_failed; score=40.38594250 || funding_spread=0.20546317; long=BinPerp; short=HlPerp || okx_hl_net24=0.00013131; capacity=51257.12434410,none,"neutral universe, rebalance timestamp, forward labels, feature ablation, and transaction costs",keep AAVE as context until another feature source appears,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5079335
BTC,insufficient_cross_section_context,long_bias,54.80210160,0.00000000,35.85197081,0.00000000,2.95013080,2,sentiment=dedupe_news_before_attention_label; source=coingecko_trending; priority=143.40788322 || funding_spread=0.10329135; long=BinPerp; short=HlPerp || okx_hl_net24=0.00053095; capacity=486206.72383000,none,"neutral universe, rebalance timestamp, forward labels, feature ablation, and transaction costs",keep BTC as context until another feature source appears,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5079335
MORPHO,split_conflicting_features_before_label,long_bias,52.12196216,41.78991896,0.00000000,-11.12005120,0.21199200,3,fundamental=Morpho Blue; side=long_token; status=protocol_fee_pending_forward_label; score=41.78991896 || sector=Morpho Ecosystem; action=wait_for_label; context=-0.27800128 || funding_spread=0.02649900; long=BinPerp; short=HlPerp || okx_hl_net24=-0.00227854; capacity=10964.14630000,long_short_feature_conflict,"neutral universe, rebalance timestamp, forward labels, feature ablation, and transaction costs",split MORPHO features by sign before any cross-section label,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5079335
HMSTR,insufficient_cross_section_context,long_bias,51.65852680,0.00000000,0.00000000,29.57172840,6.08679840,2,sector=Arcade Games; action=wait_for_label; context=0.73929321 || funding_spread=0.76084980; long=BybitPerp; short=HlPerp || okx_hl_net24=-0.01249947; capacity=6255.86957284,none,"neutral universe, rebalance timestamp, forward labels, feature ablation, and transaction costs",keep HMSTR as context until another feature source appears,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5079335
LDO,insufficient_cross_section_context,short_bias,50.06214240,0.00000000,0.00000000,-32.97949400,1.08264840,2,sector=Liquid Staking Governance Tokens; action=wait_for_label; context=-0.82448735 || funding_spread=0.13533105; long=BybitPerp; short=HlPerp || okx_hl_net24=-0.00131661; capacity=6118.56326501,none,"neutral universe, rebalance timestamp, forward labels, feature ablation, and transaction costs",keep LDO as context until another feature source appears,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5079335
UNI,insufficient_cross_section_context,short_bias,49.10125543,-33.10125543,0.00000000,0.00000000,0.00000000,2,fundamental=Uniswap V4; side=watch_or_short; status=protocol_fee_pending_forward_label; score=47.28750776 || funding_spread=0.00000000; long=BinPerp; short=BinPerp || okx_hl_net24=-0.00138073; capacity=15309.04902530,none,"neutral universe, rebalance timestamp, forward labels, feature ablation, and transaction costs",keep UNI as context until another feature source appears,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5079335
VVV,insufficient_cross_section_context,short_bias,42.78022840,0.00000000,6.60000000,-12.18022840,0.00000000,3,sentiment=source_quality_required; source=coingecko_trending; priority=66.00000000 || sector=Venice Ecosystem; action=wait_for_label; context=-0.30450571 || funding_spread=0.00000000; long=BinPerp; short=BinPerp,none,"neutral universe, rebalance timestamp, forward labels, feature ablation, and transaction costs",keep VVV as context until another feature source appears,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5079335
LIT,insufficient_cross_section_context,short_bias,42.02040520,0.00000000,6.30000000,-11.72040520,0.00000000,3,sentiment=source_quality_required; source=coingecko_trending; priority=63.00000000 || sector=Derivatives; action=wait_for_label; context=-0.29301013 || funding_spread=0.00000000; long=BinPerp; short=BinPerp || okx_hl_net24=-0.00187168; capacity=41890.77670000,none,"neutral universe, rebalance timestamp, forward labels, feature ablation, and transaction costs",keep LIT as context until another feature source appears,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5079335
STRK,insufficient_cross_section_context,short_bias,41.75749008,0.00000000,0.00000000,-24.96464000,0.79285008,2,sector=Quantum-Resistant; action=wait_for_label; context=-0.62411600 || funding_spread=0.09910626; long=HlPerp; short=BinPerp || okx_hl_net24=-0.00145605; capacity=6449.87885944,none,"neutral universe, rebalance timestamp, forward labels, feature ablation, and transaction costs",keep STRK as context until another feature source appears,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5079335
LINK,insufficient_cross_section_context,long_bias,38.95836840,0.00000000,0.00000000,21.69000800,1.26836040,2,sector=Privacy; action=wait_for_label; context=0.54225020 || funding_spread=0.15854505; long=BybitPerp; short=HlPerp || okx_hl_net24=-0.00098309; capacity=53268.31801410,none,"neutral universe, rebalance timestamp, forward labels, feature ablation, and transaction costs",keep LINK as context until another feature source appears,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5079335
JTO,insufficient_cross_section_context,long_bias,38.34096112,0.00000000,0.00000000,20.43907400,1.90188712,2,sector=Liquid Staking Governance Tokens; action=wait_for_label; context=0.51097685 || funding_spread=0.23773589; long=HlPerp; short=BybitPerp || okx_hl_net24=-0.00228813; capacity=52486.12530000,none,"neutral universe, rebalance timestamp, forward labels, feature ablation, and transaction costs",keep JTO as context until another feature source appears,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5079335
BIO,insufficient_cross_section_context,none,38.31264944,0.00000000,0.00000000,0.00000000,30.31264944,1,funding_spread=2.19377118; long=BybitPerp; short=HlPerp || okx_hl_net24=0.00319062; capacity=13837.75239070,none,"neutral universe, rebalance timestamp, forward labels, feature ablation, and transaction costs",keep BIO as context until another feature source appears,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5079335
NEAR,insufficient_cross_section_context,long_bias,35.18493880,0.00000000,0.00000000,16.88500080,2.29993800,2,sector=Data Availability; action=wait_for_label; context=0.42212502 || funding_spread=0.28749225; long=BybitPerp; short=HlPerp || okx_hl_net24=-0.00004347; capacity=747087.65250720,none,"neutral universe, rebalance timestamp, forward labels, feature ablation, and transaction costs",keep NEAR as context until another feature source appears,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5079335
RENDER,insufficient_cross_section_context,long_bias,31.71924584,0.00000000,0.00000000,15.51595080,0.20329504,2,sector=NFT; action=wait_for_label; context=0.38789877 || funding_spread=0.02541188; long=BinPerp; short=HlPerp || okx_hl_net24=-0.00163091; capacity=11190.48745270,none,"neutral universe, rebalance timestamp, forward labels, feature ablation, and transaction costs",keep RENDER as context until another feature source appears,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5079335
FET,insufficient_cross_section_context,short_bias,29.42390960,0.00000000,0.00000000,-11.79665200,1.62725760,2,sector=NFT; action=wait_for_label; context=-0.29491630 || funding_spread=0.20340720; long=BinPerp; short=HlPerp,none,"neutral universe, rebalance timestamp, forward labels, feature ablation, and transaction costs",keep FET as context until another feature source appears,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5079335
TIA,insufficient_cross_section_context,short_bias,29.05898160,0.00000000,0.00000000,-12.25744160,0.80154000,2,sector=Data Availability; action=wait_for_label; context=-0.30643604 || funding_spread=0.10019250; long=BinPerp; short=HlPerp || okx_hl_net24=-0.00092385; capacity=10220.31270731,none,"neutral universe, rebalance timestamp, forward labels, feature ablation, and transaction costs",keep TIA as context until another feature source appears,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5079335
FARTCOIN,insufficient_cross_section_context,short_bias,28.70431840,0.00000000,0.00000000,-12.70431840,0.00000000,2,sector=AI Meme; action=wait_for_label; context=-0.31760796 || funding_spread=0.00000000; long=BinPerp; short=BinPerp,none,"neutral universe, rebalance timestamp, forward labels, feature ablation, and transaction costs",keep FARTCOIN as context until another feature source appears,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5079335
ASTER,insufficient_cross_section_context,short_bias,26.98663720,0.00000000,0.00000000,-10.98663720,0.00000000,2,sector=Perpetuals; action=wait_for_label; context=-0.27466593 || funding_spread=0.00000000; long=BinPerp; short=BinPerp || okx_hl_net24=-0.00059372; capacity=38302.89964550,none,"neutral universe, rebalance timestamp, forward labels, feature ablation, and transaction costs",keep ASTER as context until another feature source appears,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5079335
SAHARA,insufficient_cross_section_context,short_bias,26.38445040,0.00000000,0.00000000,-18.38445040,0.00000000,1,sector=Buidlpad Launchpad; action=wait_for_label; context=-0.45961126,none,"neutral universe, rebalance timestamp, forward labels, feature ablation, and transaction costs",keep SAHARA as context until another feature source appears,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5079335
H,insufficient_cross_section_context,long_bias,26.21291400,0.00000000,0.00000000,18.21291400,0.00000000,1,sector=Zero Knowledge (ZK); action=wait_for_label; context=0.45532285,none,"neutral universe, rebalance timestamp, forward labels, feature ablation, and transaction costs",keep H as context until another feature source appears,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5079335
CATI,insufficient_cross_section_context,none,25.41154160,0.00000000,0.00000000,8.53554160,0.87600000,2,sector=Telegram Apps; action=wait_for_label; context=0.21338854 || funding_spread=0.10950000; long=HlPerp; short=BinPerp,none,"neutral universe, rebalance timestamp, forward labels, feature ablation, and transaction costs",keep CATI as context until another feature source appears,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5079335
WLD,insufficient_cross_section_context,none,24.07467760,0.00000000,4.50000000,0.00000000,3.57467760,2,sentiment=source_quality_required; source=coingecko_trending; priority=45.00000000 || funding_spread=0.36710970; long=BinPerp; short=HlPerp || okx_hl_net24=0.00015945; capacity=382763.01550000,none,"neutral universe, rebalance timestamp, forward labels, feature ablation, and transaction costs",keep WLD as context until another feature source appears,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5079335
POL,insufficient_cross_section_context,none,24.06026000,0.00000000,0.00000000,-6.60785200,1.45240800,2,sector=Zero Knowledge (ZK); action=wait_for_label; context=-0.16519630 || funding_spread=0.18155100; long=BybitPerp; short=HlPerp,none,"neutral universe, rebalance timestamp, forward labels, feature ablation, and transaction costs",keep POL as context until another feature source appears,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5079335
MOVE,insufficient_cross_section_context,none,24.05219784,0.00000000,0.00000000,0.00000000,16.05219784,1,funding_spread=1.85184473; long=HlPerp; short=BybitPerp || okx_hl_net24=0.00030936; capacity=13101.25573136,none,"neutral universe, rebalance timestamp, forward labels, feature ablation, and transaction costs",keep MOVE as context until another feature source appears,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5079335
STABLE,insufficient_cross_section_context,none,23.43881120,0.00000000,0.00000000,0.00000000,15.43881120,1,funding_spread=0.81700140; long=BybitPerp; short=BinPerp || okx_hl_net24=0.00222570; capacity=7930.06246009,none,"neutral universe, rebalance timestamp, forward labels, feature ablation, and transaction costs",keep STABLE as context until another feature source appears,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5079335
TURBO,insufficient_cross_section_context,none,22.61288088,0.00000000,0.00000000,-5.31739600,1.29548488,2,sector=AI Meme; action=wait_for_label; context=-0.13293490 || funding_spread=0.16193561; long=HlPerp; short=BinPerp || okx_hl_net24=-0.00307451; capacity=819.73238745,none,"neutral universe, rebalance timestamp, forward labels, feature ablation, and transaction costs",keep TURBO as context until another feature source appears,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5079335
ALGO,insufficient_cross_section_context,none,22.38162240,0.00000000,0.00000000,-3.91813520,2.46348720,2,sector=Quantum-Resistant; action=wait_for_label; context=-0.09795338 || funding_spread=0.30793590; long=BinPerp; short=BybitPerp || okx_hl_net24=-0.00195504; capacity=6619.01676998,none,"neutral universe, rebalance timestamp, forward labels, feature ablation, and transaction costs",keep ALGO as context until another feature source appears,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5079335
ONDO,insufficient_cross_section_context,none,21.70000000,0.00000000,5.70000000,0.00000000,0.00000000,2,sentiment=source_quality_required; source=coingecko_trending; priority=57.00000000 || funding_spread=0.00000000; long=BinPerp; short=BinPerp || okx_hl_net24=-0.00143591; capacity=134365.32423340,none,"neutral universe, rebalance timestamp, forward labels, feature ablation, and transaction costs",keep ONDO as context until another feature source appears,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5079335
SUI,insufficient_cross_section_context,none,21.20077000,0.00000000,4.80000000,0.00000000,0.40077000,2,sentiment=source_quality_required; source=coingecko_trending; priority=48.00000000 || funding_spread=0.05009625; long=BinPerp; short=HlPerp || okx_hl_net24=-0.00016466; capacity=376250.70863079,none,"neutral universe, rebalance timestamp, forward labels, feature ablation, and transaction costs",keep SUI as context until another feature source appears,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5079335
XMR,insufficient_cross_section_context,none,20.17270056,0.00000000,0.00000000,-4.06900320,0.10369736,2,sector=Privacy; action=wait_for_label; context=-0.10172508 || funding_spread=0.01296217; long=BinPerp; short=HlPerp,none,"neutral universe, rebalance timestamp, forward labels, feature ablation, and transaction costs",keep XMR as context until another feature source appears,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5079335
PANDORA,insufficient_cross_section_context,short_bias,18.53122120,0.00000000,0.00000000,-10.53122120,0.00000000,1,sector=ERC 404; action=wait_for_label; context=-0.26328053,none,"neutral universe, rebalance timestamp, forward labels, feature ablation, and transaction costs",keep PANDORA as context until another feature source appears,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5079335
UB,insufficient_cross_section_context,short_bias,18.06744160,0.00000000,0.00000000,-10.06744160,0.00000000,1,sector=Data Availability; action=wait_for_label; context=-0.25168604,none,"neutral universe, rebalance timestamp, forward labels, feature ablation, and transaction costs",keep UB as context until another feature source appears,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5079335
PROVE,insufficient_cross_section_context,none,16.08400128,0.00000000,0.00000000,0.00000000,8.08400128,1,funding_spread=1.01050016; long=HlPerp; short=BybitPerp,none,"neutral universe, rebalance timestamp, forward labels, feature ablation, and transaction costs",keep PROVE as context until another feature source appears,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5079335
UMA,insufficient_cross_section_context,none,16.03624880,0.00000000,0.00000000,0.00000000,8.03624880,1,funding_spread=1.00453110; long=BybitPerp; short=BinPerp || okx_hl_net24=-0.00225170; capacity=493.15421251,none,"neutral universe, rebalance timestamp, forward labels, feature ablation, and transaction costs",keep UMA as context until another feature source appears,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5079335
HYPER,insufficient_cross_section_context,none,15.70509976,0.00000000,0.00000000,0.00000000,7.70509976,1,funding_spread=0.96313747; long=HlPerp; short=BinPerp,none,"neutral universe, rebalance timestamp, forward labels, feature ablation, and transaction costs",keep HYPER as context until another feature source appears,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5079335
S,insufficient_cross_section_context,none,15.31181784,0.00000000,0.00000000,0.00000000,7.31181784,1,funding_spread=0.91397723; long=HlPerp; short=BybitPerp || okx_hl_net24=-0.00034439; capacity=1946.92928794,none,"neutral universe, rebalance timestamp, forward labels, feature ablation, and transaction costs",keep S as context until another feature source appears,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5079335
WCT,insufficient_cross_section_context,none,14.22187760,0.00000000,0.00000000,0.00000000,6.22187760,1,funding_spread=0.77773470; long=BybitPerp; short=HlPerp || okx_hl_net24=-0.00427600; capacity=1285.59851958,none,"neutral universe, rebalance timestamp, forward labels, feature ablation, and transaction costs",keep WCT as context until another feature source appears,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5079335
AIXBT,insufficient_cross_section_context,none,13.91524256,0.00000000,0.00000000,0.00000000,5.91524256,1,funding_spread=0.73940532; long=HlPerp; short=BinPerp || okx_hl_net24=-0.00052119; capacity=3085.84106988,none,"neutral universe, rebalance timestamp, forward labels, feature ablation, and transaction costs",keep AIXBT as context until another feature source appears,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5079335
USTC,insufficient_cross_section_context,none,13.85746160,0.00000000,0.00000000,0.00000000,5.85746160,1,funding_spread=0.73218270; long=BybitPerp; short=BinPerp,none,"neutral universe, rebalance timestamp, forward labels, feature ablation, and transaction costs",keep USTC as context until another feature source appears,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5079335
AERO,insufficient_cross_section_context,none,13.82907920,0.00000000,0.00000000,0.00000000,5.82907920,1,funding_spread=0.72863490; long=BybitPerp; short=HlPerp || okx_hl_net24=-0.00243184; capacity=6565.47120640,none,"neutral universe, rebalance timestamp, forward labels, feature ablation, and transaction costs",keep AERO as context until another feature source appears,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5079335
ZK,insufficient_cross_section_context,none,13.64652080,0.00000000,0.00000000,0.00000000,5.64652080,1,funding_spread=0.70581510; long=BybitPerp; short=BinPerp,none,"neutral universe, rebalance timestamp, forward labels, feature ablation, and transaction costs",keep ZK as context until another feature source appears,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5079335
SERV,insufficient_cross_section_context,none,13.40000000,0.00000000,5.40000000,0.00000000,0.00000000,1,sentiment=source_quality_required; source=coingecko_trending; priority=54.00000000,none,"neutral universe, rebalance timestamp, forward labels, feature ablation, and transaction costs",keep SERV as context until another feature source appears,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5079335
PI,insufficient_cross_section_context,none,13.10000000,0.00000000,5.10000000,0.00000000,0.00000000,1,sentiment=source_quality_required; source=coingecko_trending; priority=51.00000000,none,"neutral universe, rebalance timestamp, forward labels, feature ablation, and transaction costs",keep PI as context until another feature source appears,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5079335
MANTA,insufficient_cross_section_context,none,13.03682480,0.00000000,0.00000000,0.00000000,5.03682480,1,funding_spread=0.62960310; long=BybitPerp; short=BinPerp,none,"neutral universe, rebalance timestamp, forward labels, feature ablation, and transaction costs",keep MANTA as context until another feature source appears,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5079335
APT,insufficient_cross_section_context,none,12.82624192,0.00000000,0.00000000,0.00000000,4.82624192,1,funding_spread=0.47434524; long=HlPerp; short=BybitPerp || okx_hl_net24=0.00025787; capacity=23653.52649402,none,"neutral universe, rebalance timestamp, forward labels, feature ablation, and transaction costs",keep APT as context until another feature source appears,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5079335
IO,insufficient_cross_section_context,none,12.73193472,0.00000000,0.00000000,0.00000000,4.73193472,1,funding_spread=0.59149184; long=HlPerp; short=BybitPerp,none,"neutral universe, rebalance timestamp, forward labels, feature ablation, and transaction costs",keep IO as context until another feature source appears,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5079335
GMT,insufficient_cross_section_context,none,12.56483600,0.00000000,0.00000000,0.00000000,4.56483600,1,funding_spread=0.57060450; long=BybitPerp; short=HlPerp || okx_hl_net24=-0.00309665; capacity=833.39030728,none,"neutral universe, rebalance timestamp, forward labels, feature ablation, and transaction costs",keep GMT as context until another feature source appears,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5079335
BNT,insufficient_cross_section_context,none,12.35573480,0.00000000,0.00000000,0.00000000,4.35573480,1,funding_spread=0.54446685; long=BybitPerp; short=BinPerp,none,"neutral universe, rebalance timestamp, forward labels, feature ablation, and transaction costs",keep BNT as context until another feature source appears,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5079335
2Z,insufficient_cross_section_context,none,12.10002336,0.00000000,0.00000000,0.00000000,4.10002336,1,funding_spread=0.51250292; long=HlPerp; short=BybitPerp || okx_hl_net24=-0.00205414; capacity=3884.48616524,none,"neutral universe, rebalance timestamp, forward labels, feature ablation, and transaction costs",keep 2Z as context until another feature source appears,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5079335
MINA,insufficient_cross_section_context,none,12.08128400,0.00000000,0.00000000,0.00000000,4.08128400,1,funding_spread=0.51016050; long=HlPerp; short=BybitPerp || okx_hl_net24=-0.00213401; capacity=1361.41607465,none,"neutral universe, rebalance timestamp, forward labels, feature ablation, and transaction costs",keep MINA as context until another feature source appears,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5079335
ME,insufficient_cross_section_context,none,12.05112856,0.00000000,0.00000000,0.00000000,4.05112856,1,funding_spread=0.50639107; long=BybitPerp; short=HlPerp || okx_hl_net24=-0.00126322; capacity=2978.54940883,none,"neutral universe, rebalance timestamp, forward labels, feature ablation, and transaction costs",keep ME as context until another feature source appears,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5079335
COMP,insufficient_cross_section_context,none,11.99704432,0.00000000,0.00000000,0.00000000,3.99704432,1,funding_spread=0.49963054; long=BybitPerp; short=HlPerp || okx_hl_net24=-0.00273840; capacity=1739.16835220,none,"neutral universe, rebalance timestamp, forward labels, feature ablation, and transaction costs",keep COMP as context until another feature source appears,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5079335
MEGA,insufficient_cross_section_context,none,11.88135976,0.00000000,0.00000000,0.00000000,3.88135976,1,funding_spread=0.48516997; long=BybitPerp; short=HlPerp || okx_hl_net24=-0.00022602; capacity=24944.91035981,none,"neutral universe, rebalance timestamp, forward labels, feature ablation, and transaction costs",keep MEGA as context until another feature source appears,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5079335
NXPC,insufficient_cross_section_context,none,11.80272304,0.00000000,0.00000000,0.00000000,3.80272304,1,funding_spread=0.47534038; long=HlPerp; short=BybitPerp,none,"neutral universe, rebalance timestamp, forward labels, feature ablation, and transaction costs",keep NXPC as context until another feature source appears,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5079335
NIL,insufficient_cross_section_context,none,11.78802720,0.00000000,0.00000000,0.00000000,3.78802720,1,funding_spread=0.47350340; long=HlPerp; short=BinPerp,none,"neutral universe, rebalance timestamp, forward labels, feature ablation, and transaction costs",keep NIL as context until another feature source appears,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5079335
EIGEN,insufficient_cross_section_context,none,11.65922720,0.00000000,0.00000000,0.00000000,3.65922720,1,funding_spread=0.45740340; long=BybitPerp; short=HlPerp,none,"neutral universe, rebalance timestamp, forward labels, feature ablation, and transaction costs",keep EIGEN as context until another feature source appears,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5079335
