ticket_id,opened_at,asset,symbol,lane_bias,opportunity,status,decision,candidate_size_usd,checkpoints,entry_mark,entry_source,support_state,required_record,next_step
lane-eth-eth-volume-price-dislocation,2026-06-08T08:35:20+00:00,ETH,ETH,long,eth_volume_price_dislocation,volume_dislocation_execution_probe,paper_long,250,"15m,1h",1666.200000000000,hl_execution_context,paper_execution_gated,"lane mark move, spread/fill assumption, funding, stop, adverse excursion",paper-probe ETH lane at the gated size and log outcome
lane-eth-eth-microstructure-flow-probe,2026-06-08T08:35:20+00:00,ETH,ETH,long,eth_microstructure_flow_probe,microstructure_15m_1h_supported,paper_long,100,1h,1666.200000000000,hl_execution_context,paper_1h_supported,lane mark move and independent evidence for this hypothesis,rerun ETH lane on a fresh window and add execution/fill evidence
lane-eth-eth-20260619-short-dated-delta-hedge-check,2026-06-08T11:10:42+00:00,ETH,ETH,short,eth_20260619_short_dated_delta_hedge_check,paper_delta_hedge_candidate,paper_short,100,"15m,1h",1668.900000000000,hl_execution_context,mechanics_unvalidated,lane mark move and independent evidence for this hypothesis,"validate ETH mechanics, venue access, unwind path, and stale-price risk"
lane-eth-eth-20260626-medium-dated-delta-hedge-check,2026-06-08T11:10:42+00:00,ETH,ETH,neutral,eth_20260626_medium_dated_delta_hedge_check,paper_delta_hedge_candidate,paper_observe,100,"15m,1h",1668.900000000000,hl_execution_context,mechanics_unvalidated,lane mark move and independent evidence for this hypothesis,"validate ETH mechanics, venue access, unwind path, and stale-price risk"
lane-eth-eth-2241674-event-crypto-hedge,2026-06-08T11:10:42+00:00,ETH,ETH,long,eth_2241674_event_crypto_hedge,event_crypto_hedge_news_gap_candidate,paper_long,100,"15m,1h",1668.900000000000,hl_execution_context,unlabeled,lane mark move and independent evidence for this hypothesis,"paper-label ETH paper_long around event market 'Israel closes its airspace by June 30?' with event timestamp, funding, spread/depth, beta attribution, and failure regime"
lane-eth-eth-26mar27-basis,2026-06-08T08:35:20+00:00,ETH,ETH,relative_value,eth-26mar27_basis,paper_short_basis_watch,paper_observe,100,"15m,1h",1666.200000000000,hl_execution_context,unlabeled,lane mark move and independent evidence for this hypothesis,"check ETH-26MAR27 hedge route, fees, margin, funding, and order-book depth"
lane-zec-zec-event-pressure-cluster,2026-06-08T10:44:03+00:00,ZEC,ZEC,neutral,zec_event_pressure_cluster,multi_source_event_pressure,paper_observe,100,"4h,12h",427.410000000000,hyperliquid_snapshot,unlabeled,lane mark move and independent evidence for this hypothesis,"label ZEC event-pressure cluster over 15m/1h/4h, then check duplicate sources, funding, depth, and execution cost"
lane-zec-zec-crowded-momentum-reversal-actionability,2026-06-08T10:44:03+00:00,ZEC,ZEC,short,zec_crowded_momentum_reversal_actionability,dislocation_repeat_execution_candidate,paper_short,100,1h,427.410000000000,hyperliquid_snapshot,paper_1h_supported,lane mark move and independent evidence for this hypothesis,rerun ZEC lane on a fresh window and add execution/fill evidence
lane-zec-zec-oi-unwind-watch,2026-06-08T10:44:03+00:00,ZEC,ZEC,neutral,zec_oi_unwind_watch,paper_oi_unwind_watch,paper_observe,100,"4h,12h",427.410000000000,hyperliquid_snapshot,unlabeled,lane mark move and independent evidence for this hypothesis,"label ZEC OI-shift candidate over 15m/1h/4h with funding, spread, depth, and failure-regime separation"
lane-zec-zec-attention-price-context,2026-06-08T10:44:03+00:00,ZEC,ZEC,long,zec_attention_price_context,attention_price_lag_candidate,paper_long,100,"4h,12h",427.410000000000,hyperliquid_snapshot,unlabeled,lane mark move and independent evidence for this hypothesis,"paper-label ZEC attention-price lag over 1h, 4h, 12h, and 24h"
lane-zec-zec-institutional-flow-news-event,2026-06-08T10:44:03+00:00,ZEC,ZEC,long,zec_institutional_flow_news_event,paper_news_event_reaction_watch,paper_long,100,"15m,1h",427.410000000000,hyperliquid_snapshot,unlabeled,lane mark move and independent evidence for this hypothesis,"label ZEC returns after this institutional_flow headline and check duplicate-source timing, venue depth, spread, and funding cost"
lane-zec-zec-narrative-event-news-event,2026-06-08T10:44:03+00:00,ZEC,ZEC,long,zec_narrative_event_news_event,paper_news_event_reaction_watch,paper_long,100,"15m,1h",427.410000000000,hyperliquid_snapshot,unlabeled,lane mark move and independent evidence for this hypothesis,"label ZEC returns after this narrative_event headline and check duplicate-source timing, venue depth, spread, and funding cost"
lane-zec-zec-security-risk-news-event,2026-06-08T10:44:03+00:00,ZEC,ZEC,risk_or_avoid,zec_security_risk_news_event,paper_news_security_risk_watch,paper_observe,100,"15m,1h",427.410000000000,hyperliquid_snapshot,unlabeled,lane mark move and independent evidence for this hypothesis,"label ZEC returns after this security_risk headline and check duplicate-source timing, venue depth, spread, and funding cost"
lane-zec-zec-attention-funding-overlap,2026-06-08T10:44:03+00:00,ZEC,ZEC,neutral,zec_attention_funding_overlap,paper_attention_funding_watch,paper_observe,100,1h,427.410000000000,hyperliquid_snapshot,unlabeled,lane mark move and independent evidence for this hypothesis,collect repeated ZEC attention/funding overlaps and compare 15m/1h decay after costs
lane-sol-sol-1971905-event-crypto-hedge,2026-06-08T11:10:42+00:00,SOL,SOL,long,sol_1971905_event_crypto_hedge,event_crypto_hedge_after_refresh_candidate,paper_long,100,"15m,1h",66.248000000000,hl_execution_context,unlabeled,lane mark move and independent evidence for this hypothesis,"paper-label SOL paper_long around event market 'Strait of Hormuz traffic returns to normal by end of June?' with event timestamp, funding, spread/depth, beta attribution, and failure regime"
lane-sol-sol-volume-price-dislocation,2026-06-08T08:35:20+00:00,SOL,SOL,long,sol_volume_price_dislocation,volume_dislocation_execution_probe,paper_long,250,"15m,1h",65.711000000000,hl_execution_context,paper_execution_gated,"lane mark move, spread/fill assumption, funding, stop, adverse excursion",paper-probe SOL lane at the gated size and log outcome
lane-sol-sol-2176262-event-crypto-hedge,2026-06-08T11:10:42+00:00,SOL,SOL,long,sol_2176262_event_crypto_hedge,event_crypto_hedge_after_refresh_candidate,paper_long,100,"15m,1h",66.248000000000,hl_execution_context,unlabeled,lane mark move and independent evidence for this hypothesis,"paper-label SOL paper_long around event market 'Strait of Hormuz traffic returns to normal by July 31?' with event timestamp, funding, spread/depth, beta attribution, and failure regime"
lane-sol-sol-event-pressure-cluster,2026-06-08T10:44:03+00:00,SOL,SOL,neutral,sol_event_pressure_cluster,multi_source_event_pressure,paper_observe,100,"4h,12h",66.248000000000,hl_execution_context,unlabeled,lane mark move and independent evidence for this hypothesis,"label SOL event-pressure cluster over 15m/1h/4h, then check duplicate sources, funding, depth, and execution cost"
lane-sol-sol-maker-or-low-fee-small-execution-edge,2026-06-08T10:57:51+00:00,SOL,SOL,long,sol_maker_or_low_fee_small_execution_edge,execution_low_fee_comparison_candidate,paper_long,250,"15m,1h",66.248000000000,hl_execution_context,unlabeled,lane mark move and independent evidence for this hypothesis,"paper-repeat SOL with maker_or_low_fee_small, explicit fill assumption, funding, stop, and adverse-selection notes"
lane-sol-solana-stablecoin-migration,2026-06-08T08:35:20+00:00,SOL,SOL,long,solana_stablecoin_migration,chain_stablecoin_4h_contradicted_pending_12h,paper_long,100,"4h,12h",65.711000000000,hl_execution_context,failed_label,lane mark move and independent evidence for this hypothesis,deprioritize SOL lane until a fresh independent snapshot appears
lane-sol-sol-taker-small-execution-edge,2026-06-08T10:57:51+00:00,SOL,SOL,long,sol_taker_small_execution_edge,execution_taker_repeat_candidate,paper_long,250,"15m,1h",66.248000000000,hl_execution_context,unlabeled,lane mark move and independent evidence for this hypothesis,"paper-repeat SOL with taker_small, explicit fill assumption, funding, stop, and adverse-selection notes"
lane-sol-sol-usdt-coinup.io-(futures)-positioning,2026-06-08T08:35:20+00:00,SOL,SOL,short,sol-usdt_coinup.io_(futures)_positioning,paper_oi_funding_crowding_watch,paper_short,100,"15m,1h",65.711000000000,hl_execution_context,unlabeled,lane mark move and independent evidence for this hypothesis,"label CoinUp.io (Futures) SOL-USDT forward returns, funding PnL, depth, fees, and margin constraints"
lane-arb-arb-count-long-short-ratio-short-opposite-intraday-paper-label,2026-06-08T08:35:20+00:00,ARB,ARB,short,arb_count_long_short_ratio_short_opposite_intraday_paper_label,low_cost_intraday_paper_supported,paper_short,100,"15m,1h",0.081820000000,hl_execution_context,paper_cost_supported,lane mark move and independent evidence for this hypothesis,"check ARB live spread, funding timing, fill delay, stop rules, and realized cost"
lane-arb-arb-count-top-long-short-ratio-short-opposite-intraday-paper-label,2026-06-08T08:35:20+00:00,ARB,ARB,short,arb_count_top_long_short_ratio_short_opposite_intraday_paper_label,low_cost_intraday_paper_supported,paper_short,100,"15m,1h",0.081820000000,hl_execution_context,paper_cost_supported,lane mark move and independent evidence for this hypothesis,"check ARB live spread, funding timing, fill delay, stop rules, and realized cost"
lane-arb-arb-count-long-short-ratio-repeat-intraday-derivatives-feature,2026-06-08T08:35:20+00:00,ARB,ARB,short,arb_count_long_short_ratio_repeat_intraday_derivatives_feature,repeat_intraday_derivatives_feature_watch,paper_short,100,"15m,1h",0.081820000000,hl_execution_context,unlabeled,lane mark move and independent evidence for this hypothesis,"run ARBUSDT count_long_short_ratio intraday paper label with fees, spread, funding PnL, fill assumptions, and stop behavior"
lane-arb-arb-count-top-long-short-ratio-repeat-intraday-derivatives-feature,2026-06-08T08:35:20+00:00,ARB,ARB,short,arb_count_top_long_short_ratio_repeat_intraday_derivatives_feature,repeat_intraday_derivatives_feature_watch,paper_short,100,"15m,1h",0.081820000000,hl_execution_context,unlabeled,lane mark move and independent evidence for this hypothesis,"run ARBUSDT count_top_long_short_ratio intraday paper label with fees, spread, funding PnL, fill assumptions, and stop behavior"
lane-arb-arb-sum-top-long-short-ratio-repeat-intraday-derivatives-feature,2026-06-08T08:35:20+00:00,ARB,ARB,short,arb_sum_top_long_short_ratio_repeat_intraday_derivatives_feature,repeat_intraday_derivatives_feature_watch,paper_short,100,"15m,1h",0.081820000000,hl_execution_context,unlabeled,lane mark move and independent evidence for this hypothesis,"run ARBUSDT sum_top_long_short_ratio intraday paper label with fees, spread, funding PnL, fill assumptions, and stop behavior"
lane-arb-arb-count-long-short-ratio-long-preferred-short-opposite-intraday-paper-label,2026-06-08T08:35:20+00:00,ARB,ARB,short,arb_count_long_short_ratio_long_preferred_short_opposite_intraday_paper_label,low_cost_intraday_paper_recent_only,paper_short,100,"15m,1h",0.081820000000,hl_execution_context,paper_recent_only,lane mark move and independent evidence for this hypothesis,extend ARB lane to another non-overlapping window before promotion
lane-arb-arb-count-long-short-ratio-intraday-derivatives-feature,2026-06-08T08:35:20+00:00,ARB,ARB,short,arb_count_long_short_ratio_intraday_derivatives_feature,intraday_derivatives_feature_priority,paper_short,100,1h,0.081820000000,hl_execution_context,unlabeled,lane mark move and independent evidence for this hypothesis,"repeat ARBUSDT count_long_short_ratio 5m-to-1h label on a fresh window, then add fees, spread, and fill assumptions"
lane-arb-arb-count-top-long-short-ratio-intraday-derivatives-feature,2026-06-08T08:35:20+00:00,ARB,ARB,short,arb_count_top_long_short_ratio_intraday_derivatives_feature,intraday_derivatives_feature_priority,paper_short,100,1h,0.081820000000,hl_execution_context,unlabeled,lane mark move and independent evidence for this hypothesis,"repeat ARBUSDT count_top_long_short_ratio 5m-to-1h label on a fresh window, then add fees, spread, and fill assumptions"
lane-btc-btc-long-atm-straddle-20260626-volatility-actionability,2026-06-08T10:44:03+00:00,BTC,BTC,long,btc_long_atm_straddle_20260626_volatility_actionability,volatility_quote_mechanics_watch,paper_long,100,"15m,1h",63419.000000000000,hl_execution_context,mechanics_unvalidated,lane mark move and independent evidence for this hypothesis,"validate BTC mechanics, venue access, unwind path, and stale-price risk"
lane-btc-btc-l2-imbalance-probe,2026-06-08T10:44:03+00:00,BTC,BTC,neutral,btc_l2_imbalance_probe,l2_imbalance_15m_only_probe,paper_observe,100.00,"4h,12h",63419.000000000000,hl_execution_context,paper_15m_supported,lane mark move and independent evidence for this hypothesis,wait for BTC 1h/4h label or repeat this lane on a fresh snapshot
lane-btc-btc-long-atm-straddle-20260612-volatility-actionability,2026-06-08T10:44:03+00:00,BTC,BTC,relative_value,btc_long_atm_straddle_20260612_volatility_actionability,volatility_candidate_needs_sweep_hedge,paper_observe,100,"15m,1h",63419.000000000000,hl_execution_context,mechanics_unvalidated,lane mark move and independent evidence for this hypothesis,"validate BTC mechanics, venue access, unwind path, and stale-price risk"
lane-btc-btc-macro-crypto-news-event,2026-06-08T10:44:03+00:00,BTC,BTC,neutral,btc_macro_crypto_news_event,paper_news_macro_crypto_watch,paper_observe,100,"15m,1h",63419.000000000000,hl_execution_context,unlabeled,lane mark move and independent evidence for this hypothesis,"label BTC returns after this macro_crypto headline and check duplicate-source timing, venue depth, spread, and funding cost"
lane-sol-solana-bountywork-sol-dex-pool,2026-06-08T08:35:20+00:00,SOL,SOL,neutral,solana_bountywork_sol_dex_pool,paper_dex_reversal_risk_watch,paper_observe,100,"15m,1h",65.711000000000,hl_execution_context,unlabeled,lane mark move and independent evidence for this hypothesis,"check solana/pumpswap Bountywork / SOL route depth, slippage, gas, MEV, token restrictions, and repeat flow"
lane-sol-solana-boutywork-sol-dex-pool,2026-06-08T08:35:20+00:00,SOL,SOL,neutral,solana_boutywork_sol_dex_pool,paper_dex_reversal_risk_watch,paper_observe,100,"15m,1h",65.711000000000,hl_execution_context,unlabeled,lane mark move and independent evidence for this hypothesis,"check solana/pumpswap BOUTYWORK / SOL route depth, slippage, gas, MEV, token restrictions, and repeat flow"
lane-eth-eth-12jun26-basis,2026-06-08T08:35:20+00:00,ETH,ETH,relative_value,eth-12jun26_basis,paper_long_basis_watch,paper_observe,100,"15m,1h",1666.200000000000,hl_execution_context,unlabeled,lane mark move and independent evidence for this hypothesis,"check ETH-12JUN26 hedge route, fees, margin, funding, and order-book depth"
lane-eth-ethereum-stablecoin-migration,2026-06-08T08:35:20+00:00,ETH,ETH,neutral,ethereum_stablecoin_migration,chain_stablecoin_4h_supported_pending_12h,paper_observe,100,"4h,12h",1666.200000000000,hl_execution_context,paper_4h_supported,lane mark move and independent evidence for this hypothesis,repeat ETH lane on another 4h window and refresh execution evidence
lane-eth-eth-l2-imbalance-probe,2026-06-08T08:35:20+00:00,ETH,ETH,neutral,eth_l2_imbalance_probe,l2_imbalance_15m_only_probe,paper_observe,100.00,"4h,12h",1666.200000000000,hl_execution_context,paper_15m_supported,lane mark move and independent evidence for this hypothesis,wait for ETH 1h/4h label or repeat this lane on a fresh snapshot
lane-eth-okx-eth-chain-flow-context,2026-06-08T08:35:20+00:00,ETH,ETH,neutral,okx_eth_chain_flow_context,paper_chain_flow_watch,paper_observe,100,"15m,1h",1666.200000000000,hl_execution_context,unlabeled,lane mark move and independent evidence for this hypothesis,repeat ETH chain-flow labels and isolate venue-specific execution costs
lane-eth-eth-long-atm-straddle-20260619-volatility-actionability,2026-06-08T09:58:00+00:00,ETH,ETH,relative_value,eth_long_atm_straddle_20260619_volatility_actionability,volatility_candidate_needs_sweep_hedge,paper_observe,100,"15m,1h",1667.800000000000,hl_execution_context,mechanics_unvalidated,lane mark move and independent evidence for this hypothesis,"validate ETH mechanics, venue access, unwind path, and stale-price risk"
lane-sol-solana-$tupid-sol-dex-pool,2026-06-08T08:35:20+00:00,SOL,SOL,neutral,solana_$tupid_sol_dex_pool,paper_dex_pool_momentum_watch,paper_observe,100,"15m,1h",65.711000000000,hl_execution_context,unlabeled,lane mark move and independent evidence for this hypothesis,"check solana/pumpswap $tupid / SOL route depth, slippage, gas, MEV, token restrictions, and repeat flow"
lane-sol-okx-sol-chain-flow-context,2026-06-08T09:58:00+00:00,SOL,SOL,neutral,okx_sol_chain_flow_context,paper_chain_flow_watch,paper_observe,100,"15m,1h",66.264000000000,hl_execution_context,unlabeled,lane mark move and independent evidence for this hypothesis,repeat SOL chain-flow labels and isolate venue-specific execution costs
lane-sol-sol-protocol-fee-actionability,2026-06-08T08:35:20+00:00,SOL,SOL,short,sol_protocol_fee_actionability,protocol_fee_pending_forward_label,paper_short,100,"4h,12h",65.711000000000,hl_execution_context,pending_label,lane mark move and independent evidence for this hypothesis,wait for SOL 4h forward label before treating this as an alpha candidate
lane-near-near-microstructure-flow-paper-probe,2026-06-08T08:35:20+00:00,NEAR,NEAR,long,near_microstructure_flow_paper_probe,microstructure_small_paper_probe,paper_long,100.00,"15m,1h",2.149300000000,hl_execution_context,paper_execution_gated,"lane mark move, spread/fill assumption, funding, stop, adverse excursion",paper-probe NEAR lane at the gated size and log outcome
lane-near-near-microstructure-flow-probe,2026-06-08T08:35:20+00:00,NEAR,NEAR,long,near_microstructure_flow_probe,microstructure_15m_1h_supported,paper_long,100,1h,2.149300000000,hl_execution_context,paper_1h_supported,lane mark move and independent evidence for this hypothesis,rerun NEAR lane on a fresh window and add execution/fill evidence
lane-near-near-sum-top-long-short-ratio-intraday-derivatives-feature,2026-06-08T08:35:20+00:00,NEAR,NEAR,short,near_sum_top_long_short_ratio_intraday_derivatives_feature,intraday_derivatives_feature_priority,paper_short,100,1h,2.149300000000,hl_execution_context,unlabeled,lane mark move and independent evidence for this hypothesis,"repeat NEARUSDT sum_top_long_short_ratio 5m-to-1h label on a fresh window, then add fees, spread, and fill assumptions"
lane-near-near-count-long-short-ratio-intraday-derivatives-feature,2026-06-08T08:35:20+00:00,NEAR,NEAR,short,near_count_long_short_ratio_intraday_derivatives_feature,intraday_derivatives_feature_priority,paper_short,100,1h,2.149300000000,hl_execution_context,unlabeled,lane mark move and independent evidence for this hypothesis,"repeat NEARUSDT count_long_short_ratio 5m-to-1h label on a fresh window, then add fees, spread, and fill assumptions"
lane-near-near-count-top-long-short-ratio-intraday-derivatives-feature,2026-06-08T08:35:20+00:00,NEAR,NEAR,short,near_count_top_long_short_ratio_intraday_derivatives_feature,intraday_derivatives_feature_priority,paper_short,100,1h,2.149300000000,hl_execution_context,unlabeled,lane mark move and independent evidence for this hypothesis,"repeat NEARUSDT count_top_long_short_ratio 5m-to-1h label on a fresh window, then add fees, spread, and fill assumptions"
lane-near-near-mean-funding-rate-binance-derivatives-symbol-feature,2026-06-08T08:35:20+00:00,NEAR,NEAR,neutral,near_mean_funding_rate_binance_derivatives_symbol_feature,persistent_derivatives_symbol_feature_prior,paper_observe,100,"15m,1h",2.149300000000,hl_execution_context,unlabeled,lane mark move and independent evidence for this hypothesis,"rerun NEARUSDT mean_funding_rate with recent intraday labels, then add execution and funding PnL"
lane-near-near-sum-funding-rate-binance-derivatives-symbol-feature,2026-06-08T08:35:20+00:00,NEAR,NEAR,neutral,near_sum_funding_rate_binance_derivatives_symbol_feature,persistent_derivatives_symbol_feature_prior,paper_observe,100,"15m,1h",2.149300000000,hl_execution_context,unlabeled,lane mark move and independent evidence for this hypothesis,"rerun NEARUSDT sum_funding_rate with recent intraday labels, then add execution and funding PnL"
lane-near-near-mean-sum-top-long-short-ratio-binance-derivatives-symbol-feature,2026-06-08T08:35:20+00:00,NEAR,NEAR,short,near_mean_sum_top_long_short_ratio_binance_derivatives_symbol_feature,persistent_derivatives_symbol_feature_prior,paper_short,100,"15m,1h",2.149300000000,hl_execution_context,unlabeled,lane mark move and independent evidence for this hypothesis,"rerun NEARUSDT mean_sum_top_long_short_ratio with recent intraday labels, then add execution and funding PnL"
lane-hype-hype-volume-price-dislocation,2026-06-08T08:18:01+00:00,HYPE,HYPE,long,hype_volume_price_dislocation,volume_dislocation_execution_probe,paper_long,250,"15m,1h",61.605000000000,hl_execution_context,paper_execution_gated,"lane mark move, spread/fill assumption, funding, stop, adverse excursion",paper-probe HYPE lane at the gated size and log outcome
lane-hype-hype-microstructure-flow-paper-probe,2026-06-08T08:18:01+00:00,HYPE,HYPE,long,hype_microstructure_flow_paper_probe,microstructure_small_paper_probe,paper_long,100.00,"15m,1h",61.605000000000,hl_execution_context,paper_execution_gated,"lane mark move, spread/fill assumption, funding, stop, adverse excursion",paper-probe HYPE lane at the gated size and log outcome
lane-hype-hype-microstructure-flow-probe,2026-06-08T08:18:01+00:00,HYPE,HYPE,long,hype_microstructure_flow_probe,microstructure_15m_1h_supported,paper_long,100,1h,61.605000000000,hl_execution_context,paper_1h_supported,lane mark move and independent evidence for this hypothesis,rerun HYPE lane on a fresh window and add execution/fill evidence
lane-hype-hype-protocol-fee-growth,2026-06-08T08:18:01+00:00,HYPE,HYPE,short,hype_protocol_fee_growth,paper_long_context,paper_short,100,"15m,1h",61.605000000000,hl_execution_context,unlabeled,lane mark move and independent evidence for this hypothesis,separate HYPE protocol growth thesis from unlock short pressure and label both windows
lane-hype-hype-protocol-fee-actionability,2026-06-08T08:18:01+00:00,HYPE,HYPE,short,hype_protocol_fee_actionability,protocol_fee_label_supported_watch,paper_short,100,"4h,12h",61.605000000000,hl_execution_context,paper_4h_supported,lane mark move and independent evidence for this hypothesis,repeat HYPE lane on another 4h window and refresh execution evidence
lane-hype-hype-unlock-actionability,2026-06-08T08:18:01+00:00,HYPE,HYPE,short,hype_unlock_actionability,unlock_event_label_pending,paper_short,100,"15m,1h",61.605000000000,hl_execution_context,pending_label,lane mark move and independent evidence for this hypothesis,label HYPE unlock event window before treating the supply event as a tradable alpha
lane-hype-hyperliquid-l1-stablecoin-migration,2026-06-08T08:18:01+00:00,HYPE,HYPE,neutral,hyperliquid_l1_stablecoin_migration,chain_stablecoin_4h_supported_pending_12h,paper_observe,100,"4h,12h",61.605000000000,hl_execution_context,paper_4h_supported,lane mark move and independent evidence for this hypothesis,repeat HYPE lane on another 4h window and refresh execution evidence
lane-hype-hype-attention-price-context,2026-06-08T08:18:01+00:00,HYPE,HYPE,long,hype_attention_price_context,attention_price_lag_candidate,paper_long,100,"4h,12h",61.605000000000,hl_execution_context,unlabeled,lane mark move and independent evidence for this hypothesis,"paper-label HYPE attention-price lag over 1h, 4h, 12h, and 24h"
lane-eth-eth-long-atm-straddle-20260626-volatility-actionability,2026-06-08T08:35:20+00:00,ETH,ETH,relative_value,eth_long_atm_straddle_20260626_volatility_actionability,volatility_candidate_needs_sweep_hedge,paper_observe,100,"15m,1h",1666.200000000000,hl_execution_context,mechanics_unvalidated,lane mark move and independent evidence for this hypothesis,"validate ETH mechanics, venue access, unwind path, and stale-price risk"
lane-sol-sol-attention-price-context,2026-06-08T08:35:20+00:00,SOL,SOL,long,sol_attention_price_context,attention_price_lag_candidate,paper_long,100,"4h,12h",65.711000000000,hl_execution_context,unlabeled,lane mark move and independent evidence for this hypothesis,"paper-label SOL attention-price lag over 1h, 4h, 12h, and 24h"
