candidate_id,observed_at,family,instrument,decision,modern_input_type,modern_input_evidence,price_context,execution_context,primary_horizon,secondary_horizon,invalidation,promotion_blocker,status
wallet-eth-seed-flow-long-20260609T2332Z,2026-06-09T00:58:00Z,wallet_entity_flow,ETH,paper_long,wallet_entity_flow,"seed wallet open position=2.7966 ETH; net_buy=6903.68625; realized_pnl_after_fees=414.575861","mark=1667.6 from stale local wallet output","source is stale; copycat and survivorship controls required",1h,4h,"wallet position is stale/closed or ETH fails after funding/spread/depth costs","stale_input; public seed wallet survivorship risk",paper_candidate_stale_input
wallet-zec-seed-flow-long-20260609T2332Z,2026-06-09T00:58:00Z,wallet_entity_flow,ZEC,paper_long,wallet_entity_flow,"seed wallet open position=1.32 ZEC; net_buy=49.5898; realized_pnl_after_fees=443.763644","mark=446.74 from stale local wallet output","source is stale; must compare with fresh ZEC reversal and current depth",1h,4h,"wallet position is stale/closed or ZEC fails relative to BTC/ETH after costs","stale_input plus prior ZEC adverse path",paper_candidate_stale_input
wallet-apt-seed-flow-long-20260609T2332Z,2026-06-09T00:58:00Z,wallet_entity_flow,APT,paper_long,wallet_entity_flow,"seed wallet open position=534.63 APT; net_buy=1196.413105; positive realized PnL","mark=0.6584 from stale local wallet output","source is stale; current APT depth/cost must be refreshed",1h,4h,"APT wallet flow is stale or APT fails after cost/depth checks","stale_input and copy-crowding risk",paper_candidate_stale_input
wallet-hype-seed-flow-short-20260609T2332Z,2026-06-09T00:58:00Z,wallet_entity_flow,HYPE,paper_short,wallet_entity_flow,"seed wallet recent sell flow; net_buy=-128.54098; realized_pnl_after_fees=123.164887","mark=62.941 from stale local wallet output","source is stale; current HYPE microstructure conflicts with short",1h,4h,"HYPE wallet sell flow is stale or HYPE pressure turns positive after costs","stale_input and current order-flow conflict",paper_candidate_stale_input_with_conflict
attn-h-price-lag-long-20260609T2333Z,2026-06-09T23:33:24Z,attention_event,H,paper_long,attention_event_state,"attention rank=2; price_24h=50.07%; price_7d=-75.49%; volume_to_mcap=0.8397","fresh attention snapshot; not a pure price signal","instrument/tradability mapping required before action",1h,4h,"attention lag does not translate into forward return or instrument mapping fails","mapping and execution route unknown",paper_candidate_current_input
attn-wld-chase-fade-watch-20260609T2333Z,2026-06-09T23:33:24Z,attention_event,WLD,paper_watch_fade,attention_event_state,"attention_chase_risk; price_7d=28.51%; price_30d=79.52%; volume_to_mcap=0.3271","fresh attention snapshot; explicitly avoids chase","HL execution context needed before any short/fade",1h,4h,"WLD keeps trending with attention or fade has no executable trigger","watch-only until trigger; no direct short yet",paper_candidate_current_input_watch_only
attn-zec-capitulation-reversal-watch-20260609T2333Z,2026-06-09T23:33:24Z,attention_event,ZEC,paper_watch_reversal,attention_event_state,"attention_capitulation_reversal; price_1h=-2.53%; price_7d=-29.68%; volume_to_mcap=0.1319","fresh attention snapshot; separate from old funding story","must wait for reversal trigger and depth check",1h,4h,"ZEC keeps selling off or no reversal trigger appears","watch-only; prior 15m adverse path blocks promotion",paper_candidate_current_input_watch_only
attn-hype-capitulation-reversal-watch-20260609T2333Z,2026-06-09T23:33:24Z,attention_event,HYPE,paper_watch_reversal,attention_event_state,"attention_capitulation_reversal; price_24h=-8.86%; price_7d=-16.39%; volume_to_mcap=0.0787","fresh attention snapshot; conflicts with earlier HYPE short/long noise","HL order-flow is currently positive but book/trade divergent",1h,4h,"HYPE fails to trigger reversal or relative weakness dominates","conflicting signals; no promotion without trigger",paper_candidate_current_input_with_conflict
attn-beat-chase-fade-watch-20260609T2333Z,2026-06-09T23:33:24Z,attention_event,BEAT,paper_watch_fade,attention_event_state,"attention_chase_risk; price_7d=324.85%; price_30d=797.24%","fresh attention snapshot; extreme reflexivity candidate","execution venue and borrow/short route unknown",1h,4h,"BEAT continues attention squeeze or no actionable route exists","mapping/venue route missing",paper_candidate_current_input_watch_only
pred-btc-peace-risk-relief-long-20260609T2332Z,2026-06-09T23:32:50Z,prediction_market,BTC,paper_long,prediction_market_odds,"Polymarket/Kalshi-style event hedge; market_id=2270330; probability_gap=0.185; edge_after_ask=0.180; source_quality_pass","risk relief event state before scoring","needs BTC funding/spread/depth and beta attribution",1h,4h,"event odds stop implying risk relief or BTC move is only generic beta","event-to-crypto causality not proven",paper_candidate_current_input
pred-btc-hormuz-normal-risk-relief-long-20260609T2332Z,2026-06-09T23:32:50Z,prediction_market,BTC,paper_long,prediction_market_odds,"Hormuz normal traffic market; market_id=1971905; probability_gap=0.185; edge_after_ask=0.180; source_quality_pass","event state known before outcome","needs oil/USO and BTC beta attribution",1h,4h,"Hormuz odds or shipping evidence contradicts risk relief","must confirm with independent shipping/oil evidence",paper_candidate_current_input
pred-btc-israel-airspace-risk-short-20260609T2332Z,2026-06-09T23:32:50Z,prediction_market,BTC,paper_short,prediction_market_odds,"Israel airspace event; market_id=2296152; probability_gap=0.125; edge_after_ask=0.120; source_quality_pass","risk escalation event state before scoring","needs BTC spread/depth and macro beta controls",1h,4h,"airspace odds fade or BTC does not react after controlling for beta","event may be stale or already priced",paper_candidate_current_input
pred-eth-israel-airspace-risk-short-20260609T2332Z,2026-06-09T23:32:50Z,prediction_market,ETH,paper_short,prediction_market_odds,"Israel airspace event; market_id=2296152; ETH hedge score=71.8724; source_quality_pass","risk escalation event state before scoring","needs ETH funding/spread/depth and BTC hedge comparison",1h,4h,"event odds fade or ETH does not underperform after beta controls","ETH may reflect generic BTC beta only",paper_candidate_current_input
opt-eth-10jun-put-skew-watch-20260609T2333Z,2026-06-09T23:33:24Z,options_vol,ETH,paper_vol_hedge_watch,options_vol_surface,"Deribit ETH 2026-06-10 atm_iv=63.36; skew=18.10; term_spread=-5.44; score=38.0231","fresh options surface; downside protection expensive","not a naked direction trade; hedge marks and exit bid needed",1h,4h,"skew normalizes or hedge cannot be exited after costs","premium/realized move and hedge path missing",paper_candidate_current_input_watch_only
opt-btc-10jun-put-skew-watch-20260609T2333Z,2026-06-09T23:33:24Z,options_vol,BTC,paper_vol_hedge_watch,options_vol_surface,"Deribit BTC 2026-06-10 atm_iv=42.34; skew=9.94; term_spread=-7.20; score=33.5574","fresh options surface; event vol/skew context","must compare against spot/perp hedge alternative",1h,4h,"put skew does not translate into realized hedge benefit","not directional spot alpha without hedge PnL",paper_candidate_current_input_watch_only
opt-eth-11jun-put-skew-watch-20260609T2333Z,2026-06-09T23:33:24Z,options_vol,ETH,paper_vol_hedge_watch,options_vol_surface,"Deribit ETH 2026-06-11 atm_iv=68.80; skew=15.09; term_spread=1.55; score=27.7609","fresh options surface; near-term downside skew","needs realized-vol label and exit spread",1h,4h,"skew fades or realized move fails to cover premium","premium/realized move and execution missing",paper_candidate_current_input_watch_only
xvenue-brett-bybit-hl-funding-20260609T2332Z,2026-06-09T00:40:03Z,cross_venue_funding,BRETT,paper_funding_watch,cross_venue_dislocation,"BybitPerp vs HlPerp annualized_spread=2.6036; hl_involved=true; impact_spread=0.00731261","stale cross-venue feasibility row","requires venue access, borrow/margin, and persistence check",1h,4h,"funding spread disappears or impact/fees dominate","stale_input; wide impact spread",paper_candidate_stale_input
xvenue-stable-bybit-hl-funding-20260609T2332Z,2026-06-09T00:40:03Z,cross_venue_funding,STABLE,paper_funding_watch,cross_venue_dislocation,"BybitPerp vs HlPerp annualized_spread=2.4493; impact_spread=0.00079939","stale cross-venue feasibility row","requires venue access, margin, and funding persistence",1h,4h,"funding spread disappears or venue route is not actionable","stale_input; no real account route yet",paper_candidate_stale_input
xvenue-zec-okx-hl-funding-20260609T2332Z,2026-06-09T00:40:04Z,cross_venue_funding,ZEC,paper_funding_watch,cross_venue_dislocation,"OKX/HL hourly_spread=0.000098900582; annualized_spread=0.86636910; capacity=125417.977","stale OKX/HL funding row","requires current spread refresh and hedge route",1h,4h,"spread collapses or transfer/margin/fees dominate","stale_input and ZEC path risk",paper_candidate_stale_input
basis-btc-25sep26-rich-future-20260609T2332Z,2026-06-08T19:50:35Z,basis_term_structure,BTC,paper_short_future_long_spot_or_perp,cross_venue_dislocation,"Deribit BTC-25SEP26 annualized_basis=0.03172260; volume_usd=20323130; spread=0.00003900","stale basis row; still useful as structure candidate","requires fresh future/spot/perp marks and margin check",1h,4h,"basis compresses before execution or hedge route is not actionable","stale_input; hedge route and margin missing",paper_candidate_stale_input
basis-eth-12jun26-cheap-future-20260609T2332Z,2026-06-08T19:50:35Z,basis_term_structure,ETH,paper_long_future_short_spot_or_perp,cross_venue_dislocation,"Deribit ETH-12JUN26 annualized_basis=-0.06045464; volume_usd=4664727; spread=0.00029649","stale basis row; near-dated cheap future","requires fresh marks and funding/borrow comparison",1h,4h,"basis normalizes before execution or borrow/funding dominates","stale_input; hedge route and margin missing",paper_candidate_stale_input
legacy-zec-carry-relative-20260609T2245Z,2026-06-09T22:45:18Z,legacy_shallow_screen,ZEC,paper_long,missing_required_modern_input,"old candidate had price/funding/spread/depth but no fresh companion input at entry","entry=439.29; early path later adverse","not eligible for promotion without liquidation/microstructure/wallet/attention/options companion",1h,4h,"ZEC underperforms or modern companion input fails","legacy shallow screen; prior adverse path",legacy_shallow_screen
legacy-morpho-carry-strength-20260609T2245Z,2026-06-09T22:45:18Z,legacy_shallow_screen,MORPHO,paper_long,missing_required_modern_input,"old candidate had funding/return/OI but no companion input","entry=1.9001","not eligible for promotion without modern input",1h,4h,"MORPHO fails to outperform BTC/ETH after costs","legacy shallow screen",legacy_shallow_screen
legacy-hype-relative-weakness-20260609T2245Z,2026-06-09T22:45:18Z,legacy_shallow_screen,HYPE,paper_short,missing_required_modern_input,"old candidate was relative weakness plus funding only; current microstructure conflicts","entry=57.817","not eligible for promotion without resolving book/trade and event context",1h,4h,"HYPE recovers or modern inputs contradict short","legacy shallow screen with conflict",legacy_shallow_screen
